TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,0.222,0.0,82.2518,9.499,0.0,287.764,0.0,2.189,0.0,98.833,0.0,0.788,0.0,3.943,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.1194,0.0,1.76908,0.0,1.14965,-9999,-9999,-9999,4.23304,0.0,2.54435,-9999,-9999,-9999,-0.115844,0.0,-9999,-0.130124,-0.0707014,-0.0468604,0.0,0.0,0.0,0.130111,0.129476,0.193152,0.204247,0.24743,0.240628,0.24532,0.306775,0.500974,0.503914,0.536596,0.637305,0.170186,0.158451,0.170419,0.190399,-9999,-9999
20010102,4.505,0.0,82.8407,15.283,0.0,296.28,0.0,1.229,0.0,98.162,0.0,1.121,0.0,3.886,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.652,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.58,26.205,29.953,-9999,0.0,0.0,0.0,-9999,-13.0682,0.0,2.17567,0.0,1.42503,-9999,-9999,-9999,3.82143,0.0,2.29789,-9999,-9999,-9999,-0.0490544,0.0,-9999,-0.0797659,-0.0593919,-0.0132448,0.0,0.0,0.0,0.156074,0.156074,0.238865,0.25016,0.225971,0.202693,0.23909,0.318476,0.655925,0.587925,0.655925,0.778343,0.259541,0.242751,0.259541,0.288326,-9999,-9999
20010103,4.672,0.0,83.4869,13.301,0.0,307.184,0.0,0.968,0.0,98.598,0.0,0.304,0.0,4.297,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.605,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.416,23.89,29.816,-9999,0.0,0.0,0.0,-9999,-11.7675,0.0,1.55055,0.0,1.0253,-9999,-9999,0.187782,3.33268,0.0,2.00501,-9999,-9999,1.04791,-0.00645946,0.0,-9999,-0.027178,-0.00165118,0.0259323,0.0,0.0,0.0,0.157092,0.157092,0.241176,0.252357,0.157861,0.179532,0.22296,0.277446,0.662826,0.589747,0.662826,0.784132,0.22932,0.214221,0.22932,0.255232,-9999,-9999
20010104,2.945,0.0,84.1901,19.501,0.0,285.197,0.0,1.133,0.0,98.506,0.0,1.333,0.0,3.757,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.637,26.407,29.872,-9999,0.0,0.0,0.0,-9999,-14.1194,0.0,1.76908,0.0,1.18366,-9999,-9999,0.158091,4.23304,0.0,2.5637,-9999,-9999,0.905354,-0.115844,0.0,-9999,-0.130124,-0.0707014,-0.0468604,0.0,0.0,0.0,0.14657,0.146327,0.218863,0.230752,0.263889,0.25713,0.270076,0.335364,0.59732,0.561949,0.6073,0.723661,0.321974,0.301869,0.321974,0.355839,-9999,-9999
20010105,5.963,0.0,84.9498,3.719,0.0,324.5,0.0,1.002,0.0,97.918,0.0,8.397,0.0,5.854,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.652,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.58,26.205,29.953,-9999,0.0,0.0,0.0,-9999,-13.0682,0.0,2.17567,0.0,1.48666,-9999,-9999,0.207968,3.82143,0.0,2.39186,-9999,-9999,0.848832,-0.0490544,0.0,-9999,-0.0797659,-0.0593919,-0.0132448,0.0,0.0,0.0,0.164952,0.164983,0.252595,0.269016,0.234848,0.208052,0.251686,0.335037,0.714536,0.609723,0.714536,0.828503,0.0693891,0.0643661,0.0696984,0.0780822,-9999,-9999
20010106,7.477,0.0,85.7667,20.1,0.0,321.962,0.0,1.442,0.0,97.964,0.0,2.186,0.0,5.663,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.605,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.416,23.89,29.816,-9999,0.0,0.0,0.0,-9999,-11.7675,0.0,1.55055,0.0,1.08893,-9999,-9999,0.176308,3.33268,0.0,2.17601,-9999,-9999,0.859901,-0.00645946,0.0,-9999,-0.027178,-0.00165118,0.0259323,0.0,0.0,0.0,0.174148,0.174211,0.266942,0.288818,0.174917,0.193689,0.238094,0.307911,0.77672,0.633749,0.745487,0.880656,0.32788,0.307679,0.32788,0.361372,-9999,-9999
20010107,4.883,0.0,86.6409,27.516,0.0,298.345,0.0,1.303,0.0,99.135,0.0,0.095,0.0,3.153,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,419.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.637,26.407,29.872,-9999,0.0,0.0,0.0,-9999,-14.1194,0.0,1.76908,0.0,1.28941,-9999,-9999,0.179499,4.23304,0.0,2.83455,-9999,-9999,0.872649,-0.115844,0.0,-9999,-0.130124,-0.0707014,-0.0468604,0.0,0.0,0.0,0.15838,0.15838,0.243966,0.255042,0.2757,0.268976,0.288578,0.358212,0.67106,0.592352,0.67106,0.791356,0.422875,0.398709,0.422875,0.459036,-9999,-9999
20010108,2.902,0.0,87.5718,30.293,0.0,280.963,0.0,1.186,0.0,99.296,0.0,0.098,0.0,2.088,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.652,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.58,26.205,29.953,-9999,0.0,0.0,0.0,-9999,-13.0682,0.0,2.17567,0.0,1.6566,-9999,-9999,0.235424,3.82143,0.0,2.75558,-9999,-9999,0.860281,-0.0490544,0.0,-9999,-0.0797659,-0.0593919,-0.0132448,0.0,0.0,0.0,0.146304,0.146046,0.218068,0.230044,0.2162,0.193981,0.225179,0.29836,0.594811,0.561685,0.607014,0.722002,0.457044,0.431522,0.457044,0.493996,-9999,-9999
20010109,1.741,0.0,88.5596,18.159,0.0,283.9,0.0,0.935,0.0,99.472,0.0,0.272,0.0,3.152,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.605,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.416,23.89,29.816,-9999,0.0,0.0,0.0,-9999,-11.7675,0.0,1.55055,0.0,1.18139,-9999,-9999,0.192251,3.33268,0.0,2.53923,-9999,-9999,0.902283,-0.00645946,0.0,0.199807,-0.027178,-0.00165118,0.0259323,0.0,0.0,0.0,0.139231,0.138784,0.205982,0.218873,0.14,0.173346,0.198485,0.242792,0.551267,0.540431,0.592168,0.667885,0.300902,0.282026,0.300902,0.332888,-9999,-9999
20010110,-0.019,0.0,89.6043,21.367,0.0,271.905,0.0,0.706,0.0,99.507,0.0,2.306,0.0,1.544,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.637,26.407,29.872,-9999,0.0,0.0,0.0,-9999,-14.1194,0.0,1.76908,0.0,1.18492,-9999,-9999,0.236431,4.23304,0.0,2.83525,-9999,-9999,0.91384,-0.115844,0.0,0.141956,-0.130124,-0.0707014,-0.0468604,0.0,0.0,0.0,0.128546,0.127836,0.190428,0.202153,0.245865,0.239056,0.243679,0.303808,0.487874,0.496408,0.526455,0.630307,0.344244,0.323351,0.344244,0.378229,-9999,-9999
