TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040101,-3.456,0.0,83.6602,21.681,0.0,272.789,0.0,0.583,0.0,96.314,0.0,0.538,0.0,1.989,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.8556,0.0,48.629,-9999,-9999,-9999,15.8082,0.0,13.8134,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,1.64318,1.51611,1.63021,1.69698,11.015,10.9895,11.1087,11.22,0.474083,0.473058,0.474234,0.482561,1.97515,1.95842,1.97515,1.9815,-9999,-9999
20040102,-4.717,0.0,84.2509,25.023,0.0,261.01,0.0,0.631,0.0,96.196,0.0,0.829,0.0,2.884,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.9201,0.0,33.0222,-9999,-9999,-9999,15.2269,0.0,13.2601,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,1.45493,1.34121,1.441,1.49571,9.95104,9.9371,10.0108,10.0933,0.355576,0.354807,0.355689,0.361935,2.25992,2.24154,2.25992,2.26692,-9999,-9999
20040103,-5.857,0.0,84.8988,31.062,0.0,235.166,0.0,0.781,0.0,96.701,0.0,0.368,0.0,1.901,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.3345,0.416667,44.3672,0.0,38.2407,-9999,-9999,-9999,20.141,0.0,17.3598,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,1.29492,1.19268,1.28109,1.3254,9.31373,9.35417,9.47518,9.74891,0.270204,0.269619,0.270289,0.275035,2.76147,2.7407,2.76147,2.76946,-9999,-9999
20040104,-6.993,0.0,85.6039,23.429,0.0,239.977,0.0,0.847,0.0,96.153,0.0,0.572,0.0,1.954,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,1.14885,1.05725,1.1332,1.17088,10.5207,10.4955,10.582,10.7835,0.207437,0.206988,0.207502,0.211146,2.12001,2.1026,2.12001,2.12663,-9999,-9999
20040105,-7.929,0.0,86.3656,31.626,0.0,221.826,0.0,0.514,0.0,96.394,0.0,2.412,0.0,1.831,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,1.04878,0.964694,1.03067,1.06629,9.54488,9.5319,9.60334,9.69437,0.178672,0.178285,0.178728,0.181867,2.81624,2.7949,2.81624,2.82444,-9999,-9999
20040106,-9.815,0.0,87.1847,30.1,0.0,231.84,0.0,0.746,0.0,96.771,0.0,6.658,0.0,4.032,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,0.904708,0.83208,0.888593,0.919409,8.92351,8.96646,9.16842,9.34013,0.173592,0.173217,0.173647,0.176696,2.67811,2.65787,2.67811,2.68589,-9999,-9999
20040107,0.765,0.0,88.061,16.184,0.0,303.349,0.0,0.559,0.0,96.211,0.0,6.031,0.0,3.65,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,2.35529,2.17897,2.35529,2.45928,11.7272,11.7037,11.8505,11.8757,1.11218,1.10978,1.11254,1.13207,1.49594,1.48239,1.49594,1.50103,-9999,-9999
20040108,-1.113,0.0,88.9943,32.894,0.0,261.554,0.0,0.731,0.0,96.092,0.0,0.178,0.0,2.717,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,2.02446,1.87081,2.02446,2.10734,10.5206,10.4726,10.6092,10.6559,0.779507,0.77782,0.779754,0.793446,2.91862,2.89692,2.91862,2.92698,-9999,-9999
20040109,-0.579,0.0,89.9845,10.397,0.0,285.458,0.0,0.662,0.0,95.068,0.0,2.051,0.0,3.24,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,2.12925,1.96857,2.12925,2.22172,10.1481,10.1994,10.2851,10.6443,0.911434,0.909462,0.911723,0.927732,0.966218,0.957258,0.966218,0.969579,-9999,-9999
20040110,0.654,0.0,91.0316,6.815,0.0,314.553,0.0,0.377,0.0,95.547,0.0,3.569,0.0,3.234,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,2.33142,2.15667,2.33142,2.43802,11.7033,11.6796,11.8263,11.8496,1.07446,1.07214,1.0748,1.09368,0.64461,0.638166,0.64461,0.647008,-9999,-9999
20040111,2.253,0.0,92.1357,25.839,0.0,295.814,0.0,0.864,0.0,95.567,0.0,7.575,0.0,4.686,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,2.64925,2.4533,2.64925,2.72567,11.1453,11.0807,11.1453,11.2988,1.5312,1.52789,1.53169,1.55858,2.32557,2.30696,2.32557,2.33268,-9999,-9999
20040112,1.798,0.0,93.2966,30.245,0.0,295.089,0.0,0.786,0.0,94.767,0.0,7.909,0.0,4.586,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,2.54779,2.35845,2.54779,2.63638,10.5666,10.6429,10.7268,11.0963,1.34316,1.34025,1.34358,1.36718,2.69805,2.67742,2.69805,2.70597,-9999,-9999
20040113,2.14,0.0,94.5144,10.536,0.0,309.654,0.0,0.699,0.0,93.902,0.0,5.3,0.0,4.711,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,2.61655,2.42263,2.61655,2.69843,11.9884,11.9664,12.1096,12.1592,1.44504,1.44192,1.4455,1.47088,0.977904,0.968885,0.977904,0.98129,-9999,-9999
20040114,1.948,0.0,95.7889,19.205,0.0,291.71,0.0,1.238,0.0,93.958,0.0,3.342,0.0,7.696,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,2.57325,2.38214,2.57325,2.66047,11.0693,10.9943,11.0796,11.2151,1.3624,1.35945,1.36283,1.38676,1.76126,1.74587,1.76126,1.76708,-9999,-9999
20040115,-0.062,0.0,97.1198,4.565,0.0,297.58,0.0,0.498,0.0,94.53,0.0,8.44,0.0,4.194,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,2.20311,2.03712,2.20311,2.30026,10.2219,10.2692,10.3614,10.7229,0.940457,0.938422,0.940756,0.957275,0.434802,0.43033,0.434802,0.436462,-9999,-9999
20040116,0.971,0.0,98.507,13.705,0.0,276.58,0.0,1.128,0.0,94.504,0.0,1.953,0.0,6.405,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,2.39585,2.21682,2.39585,2.49611,11.7677,11.7445,11.8864,11.9198,1.16792,1.16539,1.16829,1.18881,1.27646,1.26451,1.27646,1.28094,-9999,-9999
20040117,1.593,0.0,99.9502,29.799,0.0,277.394,0.0,1.111,0.0,94.385,0.0,1.0,0.0,4.84,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,2.50791,2.32124,2.50791,2.60013,11.004,10.9327,11.0237,11.1443,1.2876,1.28482,1.28801,1.31063,2.6652,2.64455,2.6652,2.67311,-9999,-9999
20040118,-1.611,0.0,101.45,18.191,0.0,286.843,0.0,0.587,0.0,96.061,0.0,1.785,0.0,2.638,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,1.93949,1.79171,1.93949,2.01555,9.95829,9.99931,10.0843,10.4389,0.701842,0.700324,0.702065,0.714393,1.67426,1.65939,1.67426,1.67987,-9999,-9999
20040119,-2.241,0.0,103.005,16.379,0.0,280.195,0.0,1.087,0.0,95.669,0.0,7.254,0.0,6.371,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,1.84246,1.70152,1.84246,1.91159,11.2143,11.1892,11.3168,11.3964,0.636806,0.635428,0.637008,0.648193,1.51092,1.49736,1.51092,1.51603,-9999,-9999
20040120,-1.762,0.0,104.616,23.744,0.0,294.618,0.0,0.447,0.0,95.001,0.0,4.877,0.0,4.789,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,1.91651,1.77036,1.91651,1.99097,10.4126,10.3715,10.5057,10.5491,0.688308,0.686819,0.688526,0.700617,2.15601,2.13803,2.15601,2.16284,-9999,-9999
