TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20070101,7.531,0.0,83.8118,12.999,0.0,301.408,0.0,1.113,0.0,99.172,0.0,6.43,0.0,5.227,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.9937,3.0,71.1816,0.0,91.949,-9999,-9999,-9999,11.5597,0.0,14.9323,-9999,-9999,-9999,-3.81877,0.0,-9999,-3.90098,-3.8399,-3.74874,0.0,0.0,0.0,2.76127,2.60348,2.80469,2.8614,6.66226,6.37899,6.66226,6.77176,3.34014,1.98367,2.98551,6.01617,1.55097,1.27232,1.33444,1.70281,-9999,-9999
20070102,4.528,0.0,84.403,15.937,0.0,298.116,0.0,0.709,0.0,99.539,0.0,2.978,0.0,3.846,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.72811,3.0,63.0851,0.0,81.4902,-9999,-9999,-9999,11.1578,0.0,13.3608,-9999,-9999,-9999,-3.81999,0.0,-9999,-3.98681,-3.82697,-3.44178,0.0,0.0,0.0,2.31485,2.16897,2.46677,2.51619,5.75664,5.75664,6.07455,6.47391,2.49936,1.33145,2.46204,5.63305,1.83514,1.51261,1.5827,2.0387,-9999,-9999
20070103,5.326,0.0,85.0507,8.837,0.0,310.576,0.0,0.712,0.0,100.331,0.0,0.353,0.0,3.446,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.06631,3.0,66.0904,0.0,81.2171,-9999,-9999,-9999,8.92176,0.0,10.4028,-9999,-9999,-9999,-3.78429,0.0,-9999,-3.88208,-3.74267,-3.69997,0.0,0.0,0.0,2.43003,2.28517,2.56264,2.60863,6.14166,6.12575,6.31836,6.48048,2.7043,1.39505,2.66215,5.78417,1.10737,0.888694,0.949482,1.19541,-9999,-9999
20070104,7.803,0.0,85.7563,14.436,0.0,332.2,0.0,1.088,0.0,98.909,0.0,2.858,0.0,5.225,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.9937,3.0,71.1816,0.0,85.2359,-9999,-9999,-9999,11.5597,0.0,13.297,-9999,-9999,-9999,-3.81877,0.0,-9999,-3.90098,-3.8399,-3.74874,0.0,0.0,0.0,2.79584,2.63677,2.83323,2.89265,6.69682,6.40544,6.69682,6.80491,3.38263,1.98717,3.01893,6.04989,1.6607,1.36852,1.43207,1.84427,-9999,-9999
20070105,7.571,0.0,86.5184,5.601,0.0,333.881,0.0,0.692,0.0,99.584,0.0,1.965,0.0,3.728,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.72811,3.0,63.0851,0.0,76.7307,-9999,-9999,-9999,11.1578,0.0,12.7294,-9999,-9999,-9999,-3.81999,0.0,-9999,-3.98681,-3.82697,-3.44178,0.0,0.0,0.0,2.7618,2.60296,2.80889,2.86507,6.20359,6.20359,6.39101,6.83102,3.3207,1.93524,2.98978,6.02476,0.730392,0.573071,0.62442,0.777375,-9999,-9999
20070106,9.309,0.0,87.3373,6.608,0.0,346.436,0.0,0.67,0.0,99.422,0.0,6.073,0.0,3.547,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.06631,3.0,66.0904,0.0,81.2171,-9999,-9999,-9999,8.92176,0.0,10.4028,-9999,-9999,-9999,-3.78429,0.0,-9999,-3.88208,-3.74267,-3.69997,0.0,0.0,0.0,3.02688,2.87268,3.02688,3.07358,6.73851,6.57069,6.7893,6.93959,3.84274,2.43592,3.4674,6.22515,0.840799,0.668883,0.720085,0.902636,-9999,-9999
20070107,7.501,0.0,88.214,21.886,0.0,317.572,0.0,1.203,0.0,99.374,0.0,1.33,0.0,4.12,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.9937,3.0,71.1816,0.0,88.113,-9999,-9999,-9999,11.5597,0.0,13.6864,-9999,-9999,-9999,-3.81877,0.0,-9999,-3.90098,-3.8399,-3.74874,0.0,0.0,0.0,2.75093,2.59202,2.80164,2.8567,6.65191,6.37458,6.65191,6.76702,3.2982,1.91218,2.98635,6.01785,2.32743,1.93747,2.03929,2.65097,-9999,-9999
20070108,8.716,0.0,89.1476,11.345,0.0,331.981,0.0,1.298,0.0,98.366,0.0,3.41,0.0,4.534,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.72811,3.0,63.0851,0.0,78.5155,-9999,-9999,-9999,11.1578,0.0,13.3608,-9999,-9999,-9999,-3.81999,0.0,-9999,-3.98681,-3.82697,-3.44178,0.0,0.0,0.0,2.93529,2.77582,2.9431,3.0022,6.37707,6.36055,6.52124,6.96654,3.65803,2.25216,3.28685,6.14413,1.34336,1.10286,1.15625,1.47792,-9999,-9999
20070109,11.453,0.0,90.1381,17.38,0.0,348.419,0.0,1.976,0.0,98.825,0.0,1.41,0.0,5.157,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.06631,3.0,66.0904,0.0,82.6022,-9999,-9999,-9999,8.92176,0.0,10.7768,-9999,-9999,-9999,-3.78429,0.0,-9999,-3.88208,-3.74267,-3.69997,0.0,0.0,0.0,3.36405,3.21144,3.30224,3.37055,7.07567,6.91765,7.08139,7.2026,4.54962,3.1599,4.1645,6.50457,1.89286,1.57024,1.63959,2.1378,-9999,-9999
20070110,10.283,0.0,91.1855,21.321,0.0,312.184,0.0,2.585,0.0,99.209,0.0,2.556,0.0,5.193,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.9937,3.0,71.1816,0.0,89.2638,-9999,-9999,-9999,11.5597,0.0,13.8421,-9999,-9999,-9999,-3.81877,0.0,-9999,-3.90098,-3.8399,-3.74874,0.0,0.0,0.0,3.1817,3.04619,3.16298,3.19136,7.08268,6.80477,7.00493,7.11927,4.1737,2.79522,3.79512,6.38533,2.28884,1.90311,1.99973,2.59931,-9999,-9999
