TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040101,8.295,0.0,157.075,56.283,0.0,303.067,0.0,2.866,0.0,100.504,0.0,2.085,0.0,1.155,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.1433,0.0,-9999,-9999,-9999,-9999,95.5064,0.0,-9999,-9999,-9999,-9999,3.79578,0.0,-9999,3.70169,3.79489,3.79578,0.0,0.0,0.0,2.0012,2.12884,2.12884,2.12884,-1.79457,-1.69329,-1.66605,-1.59031,1.42307,1.37742,1.44559,5.15342,2.35077,2.17589,2.35458,4.26811,-9999,-9999
20040102,8.054,0.0,157.701,60.034,0.0,308.794,0.0,2.861,0.0,100.259,0.0,0.038,0.0,1.201,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,54.9127,0.0,-9999,-9999,-9999,-9999,95.599,0.0,-9999,-9999,-9999,-9999,3.97167,0.0,-9999,3.85736,3.96012,3.9737,0.0,0.0,0.0,1.97098,2.09834,2.09834,2.09834,-2.00273,-1.89005,-1.87333,-1.76376,1.40025,1.35514,1.42474,5.07822,2.49151,2.30912,2.49565,4.38979,-9999,-9999
20040103,10.13,0.0,158.387,35.89,0.0,316.232,0.0,3.213,0.0,100.189,0.0,0.128,0.0,3.133,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,45.4679,0.0,-9999,-9999,-9999,-9999,99.8593,0.0,-9999,-9999,-9999,-9999,3.70185,0.0,-9999,3.66061,3.70232,3.76026,0.0,0.0,0.0,2.31529,2.42618,2.42618,2.42618,-1.38656,-1.35754,-1.27666,-1.2462,1.68998,1.64601,1.68998,5.9015,1.54161,1.41862,1.54383,3.38668,-9999,-9999
20040104,8.976,0.0,159.131,79.466,0.0,292.947,0.0,3.358,0.0,100.885,0.0,0.0,0.0,2.133,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.1433,0.0,-9999,-9999,-9999,-9999,95.5064,0.0,-9999,-9999,-9999,-9999,3.79578,0.0,-9999,3.70169,3.79489,3.79578,0.0,0.0,0.0,2.11411,2.23639,2.23639,2.23639,-1.68166,-1.58451,-1.5585,-1.48276,1.51797,1.47267,1.51959,5.42347,3.21402,2.99427,3.21988,4.93845,-9999,-9999
20040105,7.873,0.0,159.933,96.602,0.0,280.435,0.0,3.558,0.0,101.556,0.0,0.108,0.0,1.908,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,54.9127,0.0,-9999,-9999,-9999,-9999,95.599,0.0,-9999,-9999,-9999,-9999,3.97167,0.0,-9999,3.85736,3.96012,3.9737,0.0,0.0,0.0,1.93142,2.06239,2.06239,2.06239,-2.04228,-1.926,-1.90929,-1.79972,1.36436,1.31848,1.39987,4.98656,3.81823,3.57338,3.82573,5.29695,-9999,-9999
20040106,6.715,0.0,160.793,97.696,0.0,268.297,0.0,3.525,0.0,102.096,0.0,0.0,0.0,1.962,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,45.4679,0.0,-9999,-9999,-9999,-9999,99.8593,0.0,-9999,-9999,-9999,-9999,3.70185,0.0,-9999,3.66061,3.70232,3.76026,0.0,0.0,0.0,1.75626,1.89271,1.89271,1.89271,-1.94559,-1.89687,-1.81013,-1.77967,1.22137,1.17597,1.28336,4.5628,3.85344,3.60776,3.86105,5.30846,-9999,-9999
20040107,7.36,0.0,161.71,84.403,0.0,277.145,0.0,3.899,0.0,102.139,0.0,0.0,0.0,0.808,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.1433,0.0,-9999,-9999,-9999,-9999,95.5064,0.0,-9999,-9999,-9999,-9999,3.79578,0.0,-9999,3.70169,3.79489,3.79578,0.0,0.0,0.0,1.86735,1.9979,1.9979,1.9979,-1.92842,-1.82497,-1.79699,-1.72125,1.31563,1.27077,1.35578,4.82743,3.37645,3.15222,3.38282,4.99895,-9999,-9999
20040108,8.783,0.0,162.686,67.586,0.0,303.763,0.0,3.659,0.0,101.863,0.0,0.217,0.0,0.841,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,54.9127,0.0,-9999,-9999,-9999,-9999,95.599,0.0,-9999,-9999,-9999,-9999,3.97167,0.0,-9999,3.85736,3.96012,3.9737,0.0,0.0,0.0,2.09267,2.21409,2.21409,2.21409,-1.88104,-1.7743,-1.75758,-1.64802,1.50283,1.45817,1.50439,5.36897,2.75926,2.56559,2.76412,4.53157,-9999,-9999
20040109,9.028,0.0,163.718,17.639,0.0,325.797,0.0,2.674,0.0,101.397,0.0,6.23,0.0,1.772,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,45.4679,0.0,-9999,-9999,-9999,-9999,99.8593,0.0,-9999,-9999,-9999,-9999,3.70185,0.0,-9999,3.66061,3.70232,3.76026,0.0,0.0,0.0,2.11729,2.24045,2.24045,2.24045,-1.58456,-1.54599,-1.46239,-1.43193,1.51899,1.47327,1.5223,5.43285,0.77782,0.711766,0.778803,2.15129,-9999,-9999
20040110,10.773,0.0,164.806,74.733,0.0,314.523,0.0,3.316,0.0,100.954,0.0,0.261,0.0,2.94,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.1433,0.0,-9999,-9999,-9999,-9999,95.5064,0.0,-9999,-9999,-9999,-9999,3.79578,0.0,-9999,3.70169,3.79489,3.79578,0.0,0.0,0.0,2.42977,2.53371,2.53371,2.53371,-1.366,-1.2831,-1.26118,-1.18544,1.78862,1.72425,1.78862,6.17269,3.03769,2.82723,3.04314,4.78475,-9999,-9999
