TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20030101,0.242,1.0,185.416,73.618,1.0,281.149,1.0,1.848,1.0,97.512,1.0,0.0,1.0,5.391,1.0,0.349416666667,1.0,11.0202291667,1.0,141.5195,1.0,-9999,0.0,15.0434583333,1.0,322.294354167,1.0,382.656,1.0,2.477,1.0,36.818,1.0,-24.2743,1.0,20.3098,1.0,29.1961,-9999,-9999,1.24973,-0.665745,1.0,-0.943126,-9999,-9999,1.77566,-0.376558,1.0,0.117797,-0.547228,-0.376558,-0.366833,1.0,1.0,1.0,0.064671,1.03772e-06,0.0968255,0.154581,0.473604,0.479336,0.504685,0.546584,0.0325083,0.0320375,0.176439,0.668955,1.2036,0.821259,0.99731,1.14445,-9999,-9999
20030102,1.229,1.0,186.036,79.87,1.0,278.574,1.0,1.806,1.0,98.6,1.0,0.0,1.0,3.503,0.875,0.225545454545,0.916666666667,7.32166666667,1.0,153.545854167,1.0,-9999,0.0,20.7143333333,1.0,321.561416667,1.0,381.944,1.0,2.789,1.0,36.727,1.0,-15.6938,1.0,17.2043,1.0,24.8218,-9999,-9999,1.52235,-0.714721,1.0,-1.00877,-9999,-9999,2.1934,-0.853649,0.979167,0.132874,-1.02255,-0.853649,-0.834262,1.0,0.979167,0.979167,0.0677977,1.03772e-06,0.101562,0.162467,0.95542,0.956136,0.984994,1.02109,0.0398928,0.0393151,0.216518,0.68388,1.31263,0.892991,1.08729,1.24117,-9999,-9999
20030103,3.621,1.0,186.714,134.118,1.0,284.566,1.0,2.113,1.0,98.487,1.0,0.1,1.0,3.289,0.854167,0.166365853659,0.854166666667,24.9147916667,1.0,257.894229167,1.0,-9999,0.0,29.7269791667,1.0,335.873208333,1.0,380.857,1.0,3.267,1.0,36.451,1.0,-9.44448,1.0,16.3461,1.0,23.6348,-9999,-9999,1.35656,-2.71132,1.0,-3.81832,-9999,-9999,2.09237,-0.8329,0.895833,0.132174,-1.27029,-0.86922,-0.8329,0.9375,0.9375,0.895833,0.0754453,1.03772e-06,0.113172,0.181931,0.946243,1.02522,1.03911,1.18758,0.141254,0.135151,0.375488,0.738743,1.71242,1.3066,1.36699,1.53819,-9999,-9999
20030104,7.347,1.0,187.45,136.739,1.0,280.599,1.0,3.956,1.0,98.129,1.0,0.0,1.0,3.613,0.958333,0.197208333333,1.0,30.4841666667,1.0,262.8913125,1.0,-9999,0.0,27.6505625,1.0,350.318833333,1.0,379.411,1.0,5.332,1.0,36.601,1.0,-3.20085,1.0,23.1086,1.0,32.2539,26.7115,35.125,1.32577,-3.84763,1.0,-5.37034,-5.84839,-4.44752,1.99464,-1.32723,1.0,0.160415,-1.3571,-1.32891,-1.31744,1.0,1.0,1.0,0.0841903,1.03772e-06,0.128503,0.187297,1.45589,1.34074,1.45589,1.54483,0.404302,0.311646,0.430976,0.93468,1.72399,1.33469,1.46706,1.5213,-9999,-9999
20030105,4.495,1.0,188.243,68.443,1.0,297.188,1.0,2.465,1.0,98.502,1.0,0.0,1.0,2.39,0.854167,0.126086956522,0.958333333333,10.1148541667,1.0,131.5595,1.0,-9999,0.0,12.8261041667,1.0,340.245375,1.0,382.563,1.0,4.659,1.0,36.185,1.0,-10.8881,1.0,12.8028,1.0,18.672,14.799,19.4603,1.09135,-3.77159,1.0,-5.26421,-5.73282,-4.35963,1.8565,-0.806612,0.916667,0.142002,-0.99309,-0.832646,-0.812237,0.9375,0.916667,0.9375,0.0555596,1.03772e-06,0.0858434,0.118133,0.893161,0.934855,0.971351,1.01273,0.25885,0.185088,0.25885,0.721868,1.24817,0.882354,1.03603,1.15055,-9999,-9999
20030106,0.063,1.0,189.091,27.704,1.0,291.189,1.0,1.138,1.0,99.844,1.0,0.0,1.0,3.49,0.708333,0.227558139535,0.895833333333,-10.3215625,1.0,53.2240208333,1.0,-9999,0.0,6.25085416667,1.0,324.377583333,1.0,381.772,1.0,3.153,1.0,35.773,1.0,-24.6922,1.0,10.374,1.0,15.1297,11.9914,15.7684,0.99291,2.05829,1.0,3.00187,2.3792,3.12859,1.69136,-0.171933,1.0,0.125324,-0.361277,-0.171933,-0.145971,1.0,1.0,1.0,0.0280723,1.03772e-06,0.0425931,0.0581737,0.215608,0.203872,0.21887,0.358657,0.0806628,0.057061,0.167132,0.337916,0.782431,0.52924,0.55385,0.777563,-9999,-9999
20030107,4.09,1.0,189.997,136.625,1.0,288.009,1.0,2.461,1.0,99.231,1.0,0.0,1.0,3.617,0.979167,0.217541666667,1.0,25.1557083333,1.0,262.690479167,1.0,-9999,-9999,28.404125,1.0,340.639666667,1.0,376.785,1.0,3.712,1.0,35.633,1.0,-8.03981,1.0,18.4482,1.0,26.9054,21.3245,28.0412,1.37927,-2.68426,1.0,-3.74657,-4.04052,-2.9482,2.12398,-0.739542,0.916667,0.158104,-1.03653,-0.789609,-0.739093,0.916667,0.9375,0.916667,0.0104337,0.00168853,0.0144261,0.0197479,0.755785,0.755337,0.808168,1.0245,0.118569,0.0791827,0.220778,0.756046,1.30517,1.13904,1.19882,1.35385,-9999,-9999
20030108,9.176,1.0,190.958,137.454,1.0,287.227,1.0,4.306,1.0,97.919,1.0,0.0,1.0,3.901,0.916667,0.182104166667,1.0,28.9781458333,1.0,264.28125,1.0,-9999,0.0,29.2550625,1.0,359.571625,1.0,377.482,1.0,6.28,1.0,35.93,1.0,1.92206,1.0,21.8952,1.0,31.9327,25.309,33.2808,1.37815,-13.6964,1.0,-19.1168,-20.6166,-15.0431,2.0022,-1.14779,0.979167,0.174632,-1.21198,-1.13324,-1.04361,1.0,0.979167,0.979167,0.0723857,0.0646843,0.0705869,0.082207,1.22478,1.10304,1.17184,1.24721,0.102135,0.0875344,0.235254,0.94446,1.23576,1.04921,1.10127,1.35135,-9999,-9999
20030109,5.504,1.0,191.975,134.664,1.0,271.626,1.0,4.204,1.0,97.892,1.0,0.0,1.0,5.952,0.854167,0.367208333333,1.0,24.9679166667,1.0,258.911145833,1.0,-9999,0.0,28.91625,1.0,342.387583333,1.0,379.719,1.0,5.618,1.0,35.366,1.0,-19.3374,1.0,33.4925,1.0,48.8465,38.7145,50.9086,1.65584,-4.34424,1.0,-6.06348,-6.53922,-4.77139,1.98985,-0.793297,1.0,0.169601,-0.878992,-0.831651,-0.811702,1.0,1.0,1.0,0.18265,0.155657,0.18265,0.19115,0.987269,0.987269,1.02274,1.03503,0.0808391,0.0928594,0.214711,0.736286,1.14452,1.01115,1.05591,1.30301,-9999,-9999
20030110,-1.55,1.0,193.046,139.714,1.0,233.231,1.0,2.212,1.0,99.135,1.0,0.0,1.0,3.247,1.0,0.2026875,1.0,20.556875,1.0,268.626708333,1.0,-9999,0.0,31.0099166667,1.0,316.699583333,1.0,382.427,1.0,2.531,1.0,34.201,1.0,-28.364,1.0,22.3296,1.0,32.5662,25.1628,33.941,1.48219,22.958,1.0,33.4826,25.8709,34.8961,2.66848,-0.329939,1.0,0.169749,-0.409511,-0.363941,-0.308087,1.0,1.0,1.0,0.226509,0.215203,0.230148,0.24608,0.570001,0.52055,0.572729,0.640128,0.0622158,0.0704401,0.138372,0.250867,1.11168,1.06564,1.12097,1.33259,-9999,-9999
