TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20110101,6.417,1.0,149.095,27.149,1.0,333.304,1.0,2.074,1.0,99.264,0.458333,9.144,1.0,5.174,0.458333,-9999,0.0,13.0905416667,1.0,70.3551458333,1.0,3.10853191489,0.979166666667,343.174270833,1.0,391.62,1.0,4.488,1.0,45.447,1.0,1.96281,1.0,13.0087,1.0,21.3894,-9999,-9999,1.04045,-16.5784,1.0,-26.517,-9999,-9999,1.2054,0.627074,1.0,0.134319,0.605967,0.631956,0.63455,1.0,1.0,1.0,1.01158,0.924109,0.997391,1.0282,0.353684,0.326056,0.362842,0.393755,1.66908,1.66908,1.76966,1.80016,0.0,0.0,0.0,0.0,-9999,-9999
20110102,-6.182,1.0,149.722,68.164,1.0,254.561,1.0,1.422,1.0,100.233,0.645833,0.0,1.0,4.092,0.645833,0.213096774194,0.645833333333,20.6948125,1.0,136.769583333,1.0,11.8777083333,1.0,287.766125,1.0,390.017,1.0,0.809,1.0,40.783,1.0,-21.1679,1.0,12.3665,1.0,21.2063,-9999,-9999,0.847169,6.83901,1.0,11.284,-9999,-9999,1.78301,1.01327,1.0,0.134174,0.969275,1.01043,1.02021,1.0,1.0,1.0,0.38692,0.351017,0.38692,0.407958,-0.625474,-0.624919,-0.612257,-0.598444,1.24175,1.11873,1.24854,1.31657,0.0,0.0,0.0,0.0,-9999,-9999
20110103,-2.521,1.0,150.407,99.361,1.0,266.668,1.0,1.972,1.0,100.089,0.6875,0.0,1.0,3.378,0.6875,0.212787878788,0.6875,45.7963541667,1.0,204.976395833,1.0,16.3920208333,1.0,301.457375,1.0,391.853,1.0,-0.26,1.0,38.93,1.0,-8.11225,1.0,16.8072,1.0,29.5334,-9999,-9999,0.984596,-0.927392,1.0,-1.56944,-9999,-9999,1.67331,0.814481,1.0,0.130606,0.789518,0.815154,0.823484,1.0,1.0,1.0,0.54932,0.493245,0.54932,0.573534,-0.273501,-0.284488,-0.265834,-0.249949,1.3012,1.3012,1.30918,1.38866,0.0,0.0,0.0,0.0,-9999,-9999
20110104,-0.773,1.0,151.152,77.128,1.0,284.248,1.0,2.212,1.0,99.419,0.666667,0.0,1.0,4.24,0.666667,0.23890625,0.666666666667,37.6329583333,1.0,155.770645833,1.0,12.485,1.0,309.796541667,1.0,392.396,1.0,-0.265,1.0,38.661,1.0,-10.7694,1.0,14.4198,1.0,25.3557,-9999,-9999,1.01448,-2.20257,1.0,-3.73009,-9999,-9999,1.7061,0.758047,1.0,0.13103,0.73362,0.758047,0.758787,0.979167,1.0,1.0,0.676674,0.531898,0.683532,0.688488,-0.0676222,-0.1988,-0.0787859,-0.0699986,1.21841,1.22765,1.31911,1.34063,0.0,0.0,0.0,0.0,-9999,-9999
20110105,-5.843,1.0,151.954,84.898,1.0,261.187,1.0,1.119,1.0,99.575,0.4375,0.0,1.0,1.716,0.4375,-9999,0.0,38.2509375,1.0,171.848020833,1.0,14.3128333333,1.0,291.556708333,1.0,394.41,1.0,-0.558,1.0,37.503,1.0,-18.6522,1.0,9.91494,1.0,17.1849,-9999,-9999,0.895812,10.7346,1.0,18.3641,-9999,-9999,2.16042,0.796563,1.0,0.134591,0.781965,0.797816,0.807027,1.0,0.979167,1.0,0.532366,0.3251,0.547073,0.554461,-0.248906,-0.472716,-0.252081,-0.23475,0.926558,0.926558,0.944775,1.01384,0.0,0.0,0.0,0.0,-9999,-9999
20110106,-3.448,1.0,152.815,27.297,1.0,291.245,1.0,0.863,1.0,98.409,0.395833,0.0,1.0,3.239,0.395833,-9999,0.0,3.52222916667,1.0,62.3616875,1.0,14.7803541667,1.0,299.579270833,1.0,393.762,1.0,-0.674,1.0,36.76,1.0,-6.9739,1.0,6.27199,1.0,10.7131,-9999,-9999,0.624221,-3.04284,1.0,-5.12895,-9999,-9999,1.04423,0.708013,1.0,0.130888,0.626597,0.702582,0.717218,1.0,1.0,1.0,0.769654,0.37834,0.769654,0.801044,0.0420204,-0.215352,0.0696776,0.0921428,0.854522,0.858886,0.895326,1.08942,0.0,0.0,0.0,0.0,-9999,-9999
20110107,-6.827,1.0,153.734,62.9,1.0,273.843,1.0,0.821,1.0,97.776,0.6875,0.0,1.0,2.749,0.6875,0.147121212121,0.6875,14.0991041667,1.0,134.902708333,1.0,35.7790625,1.0,286.112729167,1.0,392.615,1.0,-0.779,1.0,36.12,1.0,-8.31883,1.0,6.29886,1.0,10.6005,-9999,-9999,0.924356,2.03715,1.0,3.34992,-9999,-9999,1.80018,0.604871,1.0,0.136145,0.582579,0.59598,0.59998,1.0,1.0,1.0,0.576439,0.257692,0.576439,0.608532,-0.067884,-0.30421,-0.0149981,0.0125515,0.669856,0.675771,0.682488,0.837104,0.00324099,0.0,0.0,0.00703674,-9999,-9999
20110108,-9.382,1.0,154.71,90.557,1.0,247.742,1.0,0.839,1.0,98.592,0.104167,0.0,1.0,2.966,0.104167,-9999,0.0,4.61339583333,1.0,206.357916667,1.0,63.004,1.0,268.647875,1.0,394.537,0.729167,-0.891,1.0,35.336,1.0,-8.84181,1.0,5.14189,0.75,8.41717,-9999,-9999,0.651652,4.06016,0.979167,6.49004,-9999,-9999,1.35987,0.655008,0.916667,0.134375,0.634799,0.690148,0.711981,0.916667,0.916667,0.958333,0.413577,0.184232,0.413577,0.441451,-0.276788,-0.41287,-0.275097,-0.261364,0.538934,0.536648,0.550616,0.637819,0.0136716,0.0,0.0,0.0296611,-9999,-9999
20110109,-8.718,1.0,155.744,109.113,1.0,238.171,1.0,0.989,1.0,100.54,0.1875,0.0,1.0,2.274,0.1875,-9999,0.0,6.20270833333,1.0,230.569,1.0,69.1916875,1.0,269.540854167,1.0,395.078,0.6875,-1.165,1.0,34.227,1.0,-12.187,1.0,4.80792,0.6875,7.67255,-9999,-9999,0.696925,6.22907,0.979167,9.70054,-9999,-9999,1.60214,0.773942,0.916667,0.1344,0.71271,0.734634,0.76511,0.9375,0.9375,0.916667,0.423051,0.18717,0.423051,0.452523,-0.389445,-0.462073,-0.348738,-0.287017,0.589051,0.570167,0.607202,0.67235,0.0473768,0.0,0.0126765,0.0473768,-9999,-9999
20110110,-8.114,1.0,156.835,75.159,1.0,258.395,1.0,0.699,1.0,101.07,0.375,0.0,1.0,1.829,0.375,-9999,0.0,7.28704166667,1.0,178.177,1.0,48.6139375,1.0,276.059020833,1.0,395.615,0.645833,-1.452,1.0,32.971,1.0,-10.7134,1.0,4.34976,0.645833,6.66448,-9999,-9999,0.696896,4.04188,1.0,6.03709,-9999,-9999,1.63663,0.737238,0.979167,0.134452,0.67503,0.682692,0.702833,0.916667,0.916667,0.770833,0.417477,0.18335,0.417477,0.448712,-0.344267,-0.487304,-0.28867,-0.23398,0.752849,0.741254,0.752849,0.777798,0.0679586,0.0,0.0276544,0.0679586,-9999,-9999
