TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20080101,33.253,0.0,516.539,359.443,0.0,391.646,0.0,41.633,0.0,100.126,0.0,0.0,0.0,2.7,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,42.577,-9999,-9999,-9999,18.2072,0.0,23.4839,-9999,-9999,-9999,-0.158664,0.0,-9999,-0.213991,-0.129097,-0.0850691,0.0,0.0,0.0,3.45314,3.05146,3.19546,3.45314,3.39289,3.20203,3.33675,3.61181,10.9029,8.91571,9.65432,19.0245,0.170727,0.0589169,0.0933228,3.23561,-9999,-9999
20080102,27.541,0.0,516.133,359.876,0.0,364.014,0.0,25.26,0.0,100.376,0.0,0.0,0.0,3.478,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,38.3904,0.0,50.6853,-9999,-9999,-9999,11.2712,0.0,14.6581,-9999,-9999,-9999,0.222446,0.0,-9999,0.202657,0.240296,0.307448,0.0,0.0,0.0,2.89207,2.60624,2.68812,2.89207,2.45857,2.27131,2.45857,2.65269,7.41023,6.05964,6.56164,12.9301,0.763981,0.49737,0.582524,3.24151,-9999,-9999
20080103,25.024,0.0,515.679,363.939,0.0,346.554,0.0,21.295,0.0,100.407,0.0,0.0,0.0,2.607,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.1483,0.0,49.4149,-9999,-9999,-9999,8.47644,0.0,11.1078,-9999,-9999,-9999,-0.0233986,0.0,-9999,-0.0557336,-0.0233986,0.0750411,0.0,0.0,0.0,2.6556,2.41057,2.47874,2.6556,2.47784,2.33136,2.47664,2.679,6.28091,5.30912,5.56164,10.9596,1.06878,0.778503,0.867323,3.24377,-9999,-9999
20080104,29.372,0.0,515.179,358.662,0.0,377.605,0.0,29.978,0.0,99.987,0.0,0.0,0.0,2.731,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,43.5709,-9999,-9999,-9999,18.2072,0.0,24.0458,-9999,-9999,-9999,-0.158664,0.0,-9999,-0.213991,-0.129097,-0.0850691,0.0,0.0,0.0,3.0729,2.7418,2.849,3.0729,3.04028,2.88406,2.99304,3.23156,8.54575,6.9882,7.56712,14.9115,0.4347,0.217409,0.288226,3.23723,-9999,-9999
20080105,30.896,0.0,514.635,318.375,0.0,389.372,0.0,33.723,0.0,99.727,0.0,0.0,0.0,1.821,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,38.3904,0.0,51.7469,-9999,-9999,-9999,11.2712,0.0,14.9977,-9999,-9999,-9999,0.222446,0.0,-9999,0.202657,0.240296,0.307448,0.0,0.0,0.0,3.21942,2.85396,2.98275,3.21942,2.76197,2.60149,2.76197,2.97816,9.34051,7.6381,8.27087,16.2983,0.338411,0.154071,0.213313,3.19941,-9999,-9999
20080106,24.95,0.0,514.043,359.287,0.0,349.804,0.0,19.65,0.0,100.051,0.0,0.0,0.0,3.49,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.1483,0.0,50.3608,-9999,-9999,-9999,8.47644,0.0,11.3448,-9999,-9999,-9999,-0.0233986,0.0,-9999,-0.0557336,-0.0233986,0.0750411,0.0,0.0,0.0,2.6417,2.40061,2.47128,2.6417,2.46457,2.32258,2.46503,2.6651,6.03203,5.09874,5.36204,10.5253,1.0526,0.725036,0.831294,3.23133,-9999,-9999
20080107,21.63,0.0,513.405,370.414,0.0,314.877,0.0,17.585,0.0,100.699,0.0,0.0,0.0,2.816,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,44.328,-9999,-9999,-9999,18.2072,0.0,24.5152,-9999,-9999,-9999,-0.158664,0.0,-9999,-0.213991,-0.129097,-0.0850691,0.0,0.0,0.0,2.33767,2.12821,2.20173,2.33767,2.36004,2.21898,2.32456,2.49633,4.75645,4.02052,4.23937,8.29954,1.22775,0.932589,1.01965,3.23956,-9999,-9999
20080108,22.759,0.0,512.723,367.781,0.0,325.009,0.0,18.311,0.0,100.882,0.0,0.0,0.0,2.695,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,38.3904,0.0,52.725,-9999,-9999,-9999,11.2712,0.0,15.2638,-9999,-9999,-9999,0.222446,0.0,-9999,0.202657,0.240296,0.307448,0.0,0.0,0.0,2.44225,2.22481,2.29928,2.44225,2.04268,1.91149,2.04268,2.204,5.22672,4.41803,4.65852,9.12012,1.18566,0.888629,0.977742,3.23355,-9999,-9999
20080109,25.212,0.0,511.993,366.463,0.0,338.335,0.0,22.035,0.0,100.632,0.0,0.0,0.0,1.446,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.1483,0.0,51.1272,-9999,-9999,-9999,8.47644,0.0,11.5449,-9999,-9999,-9999,-0.0233986,0.0,-9999,-0.0557336,-0.0233986,0.0750411,0.0,0.0,0.0,2.67337,2.42562,2.49343,2.67337,2.49428,2.34677,2.49281,2.69677,6.37163,5.38581,5.64198,11.1179,0.913329,0.63139,0.720198,3.22906,-9999,-9999
20080110,30.186,0.0,511.219,353.506,0.0,378.65,0.0,34.669,0.0,100.102,0.0,0.0,0.0,2.104,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,44.746,-9999,-9999,-9999,18.2072,0.0,24.9397,-9999,-9999,-9999,-0.158664,0.0,-9999,-0.213991,-0.129097,-0.0850691,0.0,0.0,0.0,3.15902,2.80254,2.92693,3.15902,3.1206,2.95407,3.06973,3.31768,9.31613,7.61817,8.24928,16.2557,0.334326,0.173289,0.22377,3.2116,-9999,-9999
