TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000101,0.581,1.0,82.3936,5.91,1.0,315.937,0.0,0.085,1.0,96.592,1.0,0.71,1.0,3.477,1.0,0.704032258065,0.645833333333,-1.72916666667,1.0,12.9035416667,1.0,-9999,0.0,-9999,0.0,4.58625,1.0,1.13458333333,1.0,-9999,0.0,383.858,1.0,1.421,2.608,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.038,-9999,-9999,1.0,-9999,-9999,-4.86083,1.0,-3.51092,1.0,-1.49819,-2.1602,0.104891,0.895734,-22.59,1.0,-9.63964,-13.8992,0.674889,4.05531,1.33639,1.0,0.11289,1.29743,1.32495,1.34018,1.0,1.0,1.0,1.17086,1.14468,1.16442,1.17131,-0.165529,-0.183017,-0.170217,-0.145799,1.08909,1.08909,1.11173,1.11665,0.0,0.0,0.0,0.0,1.2775,1.0
20000102,0.862,1.0,82.9829,27.874,1.0,277.745,0.0,0.187,1.0,97.09,1.0,0.0,1.0,4.629,1.0,-9999,0.0,-10.4410416667,1.0,52.6714583333,1.0,-9999,0.0,-9999,0.0,17.98125,1.0,3.41520833333,1.0,-9999,0.0,375.474,1.0,1.384,2.562,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.103,-9999,-9999,1.0,-9999,-9999,-4.73896,1.0,1.06162,1.0,0.453019,-0.0317167,0.653196,0.892859,-14.4241,1.0,-0.60579,-8.87489,0.43093,3.60746,1.38579,1.0,0.115398,1.35742,1.37087,1.38381,1.0,1.0,1.0,1.19234,1.16652,1.18653,1.19381,-0.193448,-0.204595,-0.184339,-0.177776,1.09631,1.09631,1.1191,1.12405,0.0,0.0,0.0,0.0,1.27207,1.0
20000103,1.78,1.0,83.629,21.03,1.0,303.727,0.0,0.418,1.0,96.778,1.0,0.0,1.0,4.52,1.0,-9999,0.0,9.05708333333,1.0,42.14375,1.0,-9999,0.0,-9999,0.0,18.7902083333,1.0,2.74979166667,1.0,-9999,0.0,374.415,1.0,1.357,2.519,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.089,-9999,-9999,1.0,-9999,-9999,-4.69104,1.0,0.237564,1.0,0.101374,-0.00709738,0.146169,0.857265,-14.0422,1.0,-0.589751,-8.63992,0.419521,3.63411,1.40951,1.0,0.116738,1.37102,1.39758,1.40951,1.0,1.0,1.0,1.26673,1.24588,1.26426,1.27254,-0.14278,-0.146825,-0.141042,-0.126548,1.11894,1.11894,1.1422,1.14725,0.0,0.0,0.0,0.0,1.26821,1.0
20000104,2.843,1.0,84.3325,5.686,1.0,325.369,0.0,0.329,1.0,96.08,1.0,6.69,1.0,5.446,1.0,-9999,0.0,-2.19145833333,1.0,11.9258333333,1.0,-9999,0.0,-9999,0.0,5.90458333333,1.0,0.509791666667,1.0,-9999,0.0,374.232,1.0,1.319,2.439,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.581,-9999,-9999,1.0,-9999,-9999,-3.59542,1.0,-6.58331,1.0,-0.276488,-4.05058,0.789886,1.00831,-40.4101,1.0,-1.69716,-24.8636,4.84854,3.95883,1.34279,1.0,0.118652,1.29033,1.31199,1.34279,1.0,1.0,1.0,1.35483,1.34393,1.35483,1.36576,0.0120352,0.000202075,0.0274791,0.0421183,1.14459,1.14459,1.16839,1.17356,0.0,0.0,0.0,0.0,1.26265,1.0
20000105,2.625,1.0,85.0926,51.109,1.0,273.012,0.0,1.412,1.0,96.369,1.0,0.0,1.0,4.143,1.0,0.753360606061,0.6875,-41.6852083333,1.0,90.9614583333,1.0,-9999,0.0,-9999,0.0,10.5639583333,1.0,4.74291666667,1.0,-9999,0.0,369.612,1.0,1.489,2.413,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.08,-9999,-9999,1.0,-9999,-9999,-4.26396,1.0,1.85439,1.0,0.0778815,-0.222496,1.14097,1.32722,-23.1189,1.0,-0.970955,-14.2246,2.77388,4.01833,1.22088,1.0,0.119918,1.18955,1.21567,1.22132,1.0,1.0,1.0,1.33128,1.32103,1.33128,1.34145,0.110399,0.102381,0.110399,0.129984,1.14679,1.14846,1.17264,1.17696,0.0,0.0,0.0,0.0050278,1.28785,1.0
20000106,1.265,1.0,85.9094,22.204,1.0,269.113,0.0,0.327,1.0,96.293,1.0,0.0,1.0,4.04,1.0,0.873565517241,0.604166666667,-13.46625,1.0,42.0447916667,1.0,-9999,0.0,-9999,0.0,20.7604166667,1.0,1.7675,1.0,-9999,0.0,373.077,1.0,1.134,2.365,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.97,-9999,-9999,1.0,-9999,-9999,-4.34146,1.0,1.0697,1.0,0.0449256,-0.128346,0.658164,1.26284,-2.58858,1.0,-0.108716,-1.5927,0.310586,4.12084,1.22194,1.0,0.117595,1.18582,1.21012,1.21875,1.0,1.0,1.0,1.17526,1.16391,1.17526,1.18999,-0.0466876,-0.0664126,-0.0441319,-0.00176523,1.1089,1.11213,1.13149,1.13971,0.0,0.0,0.0,0.00659861,1.23634,1.0
20000107,3.405,1.0,86.7839,9.604,1.0,323.706,0.0,0.351,1.0,96.58,1.0,0.28,1.0,3.03,1.0,0.645468292683,0.854166666667,-14.52125,1.0,18.7927083333,1.0,-9999,-9999,-9999,-9999,8.89583333333,1.0,0.694583333333,1.0,-9999,-9999,376.342,1.0,2.14,2.43,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.919,-9999,-9999,1.0,-9999,-9999,0.895417,1.0,-2.68368,1.0,-0.11271,-1.65121,0.321996,1.14508,-22.3727,1.0,-0.939615,-13.7655,2.68434,4.00766,1.67726,1.0,0.129686,1.57529,1.61807,1.68035,1.0,1.0,1.0,1.36258,1.34544,1.36459,1.39397,-0.314688,-0.315785,-0.220319,-0.207683,1.29963,1.29741,1.33434,1.41846,0.0098968,0.00778819,0.00959904,0.0124988,1.38835,1.0
20000108,3.172,1.0,87.715,24.329,1.0,313.263,0.0,1.281,1.0,96.34,1.0,0.14,1.0,5.146,1.0,1.04788064516,0.645833333333,-10.955,1.0,47.2272916667,1.0,-9999,0.0,-9999,0.0,19.6977083333,1.0,1.92395833333,1.0,-9999,0.0,370.671,1.0,2.188,2.649,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.852,-9999,-9999,1.0,-9999,-9999,-0.817083,1.0,1.09202,1.0,0.46599,-0.0326248,1.55703,1.36579,3.65939,1.0,1.56154,-0.109326,5.21763,3.89572,1.3388,1.0,0.122968,1.32402,1.3388,1.34647,1.0,1.0,1.0,1.4572,1.41996,1.44533,1.50201,0.118392,0.0671983,0.112101,0.169158,1.44194,1.42832,1.44619,1.50401,0.0711914,0.034821,0.0591053,0.0736099,1.3957,1.0
20000109,2.527,1.0,88.7032,10.698,1.0,321.034,0.0,0.362,1.0,96.67,1.0,1.14,1.0,1.993,1.0,0.371327027027,0.770833333333,-0.563333333333,1.0,21.415,1.0,-9999,0.0,-9999,0.0,9.37875,1.0,0.697916666667,1.0,-9999,0.0,374.174,1.0,2.676,2.829,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.878,-9999,-9999,1.0,-9999,-9999,-0.136667,1.0,0.43679,1.0,0.268748,0.0183445,0.768663,1.20554,-10.5959,1.0,-4.52152,-15.1079,0.31656,3.65792,1.41481,1.0,0.117584,1.34689,1.41481,1.43959,1.0,1.0,1.0,1.50891,1.45495,1.48419,1.56426,0.0940901,0.0443158,0.104745,0.118568,1.48245,1.42913,1.50964,1.55598,0.0394623,0.0168881,0.0332398,0.0410311,1.4757,1.0
20000110,-0.203,1.0,89.7481,33.109,1.0,303.161,0.0,0.801,1.0,97.651,1.0,0.0,1.0,1.285,1.0,0.218021052632,0.791666666667,-18.1475,1.0,61.5002083333,1.0,-9999,0.0,-9999,0.0,20.4664583333,1.0,2.64729166667,1.0,-9999,0.0,367.623,1.0,2.023,2.918,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.877,-9999,-9999,1.0,-9999,-9999,-5.79979,1.0,3.48894,1.0,2.14667,-0.104234,6.13982,1.17439,1.33598,1.0,0.822002,-0.0399132,2.35106,2.88792,1.55948,0.979167,0.117514,1.35593,1.46906,1.5123,0.979167,0.979167,0.979167,1.3522,1.27243,1.29933,1.39952,-0.20728,-0.179147,-0.0927081,-0.0821096,1.31495,1.26447,1.35151,1.44189,0.103935,0.0565041,0.0959241,0.113112,1.36925,1.0
