TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
19960101,2.113,0.0,147.502,67.795,0.0,264.003,0.0,1.378,0.0,83.568,0.0,0.754,0.0,1.476,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.22,0.0,66.8725,-9999,-9999,-9999,103.798,0.0,108.085,-9999,-9999,-9999,-11.2651,0.0,-9999,-11.2709,-11.2388,-10.9883,0.0,0.0,0.0,3.15659,1.88763,3.06759,3.1531,14.3785,13.6881,14.1211,14.3953,2.16729,0.913573,2.1336,2.1671,5.46598,4.25871,4.3102,6.04462,-9999,-9999
19960102,2.315,0.0,148.128,24.837,0.0,289.789,0.0,1.063,0.0,83.806,0.0,9.59,0.0,1.178,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,67.582,0.0,75.3786,-9999,-9999,-9999,110.666,0.0,123.433,-9999,-9999,-9999,-13.2666,0.0,-9999,-13.501,-13.3901,-13.2181,0.0,0.0,0.0,3.18201,1.90216,3.09474,3.17859,16.5706,15.6634,16.3574,16.5406,2.17755,0.924358,2.14369,2.17735,2.88116,2.01874,2.23847,3.18831,-9999,-9999
19960103,0.752,0.0,148.813,72.124,0.0,254.368,0.0,1.511,0.0,84.543,0.0,0.034,0.0,1.704,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.8603,0.0,71.219,-9999,-9999,-9999,106.599,0.0,106.842,-9999,-9999,-9999,-12.7096,0.0,-9999,-12.8012,-12.6453,-12.0114,0.0,0.0,0.0,2.98687,1.79134,2.88315,2.98279,15.7312,14.695,14.9505,15.6017,2.10285,0.834416,2.07016,2.10267,5.6398,4.43289,4.48524,6.26325,-9999,-9999
19960104,-2.599,0.0,149.558,91.644,0.0,214.711,0.0,1.667,0.0,84.849,0.0,0.0,0.0,2.091,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.22,0.0,69.8481,-9999,-9999,-9999,103.798,0.0,96.9919,-9999,-9999,-9999,-11.2651,0.0,-9999,-11.2709,-11.2388,-10.9883,0.0,0.0,0.0,2.56884,1.54358,2.435,2.56353,13.7822,13.3311,13.5983,13.7909,1.93585,0.652729,1.90575,1.93567,6.34992,5.13846,5.19414,7.08626,-9999,-9999
19960105,-3.151,0.0,150.36,70.742,0.0,230.185,0.0,1.574,0.0,84.549,0.0,0.048,0.0,1.073,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,67.582,0.0,73.0362,-9999,-9999,-9999,110.666,0.0,105.468,-9999,-9999,-9999,-13.2666,0.0,-9999,-13.501,-13.3901,-13.2181,0.0,0.0,0.0,2.50092,1.50527,2.36422,2.49548,15.88,15.2841,15.6309,15.8399,1.90573,0.627364,1.8761,1.90556,5.61753,4.39798,4.4505,6.22708,-9999,-9999
19960106,-0.43,0.0,151.221,26.849,0.0,277.65,0.0,1.544,0.0,84.144,0.0,2.137,0.0,1.959,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.8603,0.0,71.7007,-9999,-9999,-9999,106.599,0.0,106.175,-9999,-9999,-9999,-12.7096,0.0,-9999,-12.8012,-12.6453,-12.0114,0.0,0.0,0.0,2.83922,1.70741,2.7234,2.83465,15.5813,14.5837,14.7972,15.4605,2.04588,0.767133,2.01407,2.0457,3.07556,2.16131,2.39412,3.40173,-9999,-9999
19960107,2.401,0.0,152.139,36.776,0.0,295.342,0.0,1.149,0.0,84.323,0.0,8.225,0.0,2.099,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.22,0.0,74.8644,-9999,-9999,-9999,103.798,0.0,111.063,-9999,-9999,-9999,-11.2651,0.0,-9999,-11.2709,-11.2388,-10.9883,0.0,0.0,0.0,3.19233,1.90772,3.10726,3.18899,14.4149,13.7079,14.1579,14.4312,2.17978,0.932143,2.14588,2.17958,3.74148,2.72704,2.83157,4.10476,-9999,-9999
19960108,3.381,0.0,153.117,22.444,0.0,302.616,0.0,1.129,0.0,84.278,0.0,23.148,0.0,1.724,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,67.582,0.0,81.3266,-9999,-9999,-9999,110.666,0.0,123.754,-9999,-9999,-9999,-13.2666,0.0,-9999,-13.501,-13.3901,-13.2181,0.0,0.0,0.0,3.31463,1.9772,3.23977,3.3117,16.7055,15.7361,16.4934,16.6777,2.22672,0.98826,2.19209,2.22652,2.6759,1.85747,2.06538,2.9677,-9999,-9999
19960109,3.055,0.0,154.15,63.732,0.0,277.155,0.0,1.339,0.0,85.124,0.0,0.314,0.0,1.366,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.8603,0.0,80.0038,-9999,-9999,-9999,106.599,0.0,122.404,-9999,-9999,-9999,-12.7096,0.0,-9999,-12.8012,-12.6453,-12.0114,0.0,0.0,0.0,3.27396,1.95413,3.19551,3.27088,16.023,14.8637,15.2494,15.891,2.21136,0.969186,2.17697,2.21116,5.28146,4.08764,4.13793,5.82184,-9999,-9999
19960110,3.543,0.0,155.241,52.859,0.0,273.662,0.0,1.433,0.0,85.093,0.0,1.13,0.0,2.569,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,64.22,0.0,80.293,-9999,-9999,-9999,103.798,0.0,122.548,-9999,-9999,-9999,-11.2651,0.0,-9999,-11.2709,-11.2388,-10.9883,0.0,0.0,0.0,3.33451,1.98833,3.26202,3.33167,14.5595,13.7872,14.3035,14.5733,2.23344,0.999049,2.19872,2.23324,4.73968,3.59032,3.63698,5.17087,-9999,-9999
