TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
19990101,-10.143,0.0,165.759,49.045,1.0,240.242,1.0,1.39,0.0,99.208,1.0,0.0,1.0,3.362,1.0,0.490166666667,1.0,14.13125,1.0,81.8391666667,1.0,-9999,0.0,10.535,1.0,264.620833333,1.0,374.426,1.0,1.518,1.0,43.0,1.0,-9.49233,1.0,0.925042,1.0,1.56413,-9999,-9999,-9999,1.17604,1.0,1.98853,-9999,-9999,-9999,0.512471,1.0,-9999,0.465152,0.51523,0.529391,1.0,1.0,1.0,0.53923,0.53923,0.57338,0.643204,0.0227547,0.0073294,0.0710755,0.126959,0.301987,0.202134,0.262615,0.351326,0.0,0.0,0.0,0.0,-9999,-9999
19990102,-1.132,0.0,166.385,7.108,1.0,294.142,1.0,1.359,0.0,97.396,1.0,8.9,1.0,5.467,0.458333,-9999,0.0,5.40208333333,1.0,0.0,0.666666666667,-9999,0.0,0.553333333333,0.875,294.9875,1.0,373.035,1.0,1.857,1.0,43.167,1.0,-7.44088,1.0,-0.106904,1.0,-0.176544,-9999,-9999,-9999,-16.2947,1.0,-26.9095,-9999,-9999,-9999,0.397242,1.0,-9999,0.395625,0.397242,0.406588,1.0,1.0,1.0,1.05979,1.05979,1.0903,1.14986,0.662547,0.662547,0.677692,0.760834,0.689232,0.605299,0.668035,0.773683,0.0,0.0,0.0,0.0,-9999,-9999
19990103,-8.41,0.0,167.069,43.046,1.0,270.846,1.0,1.409,0.0,97.837,1.0,0.0,1.0,6.858,0.0,-9999,0.0,31.5804583333,1.0,76.9291666667,1.0,-9999,0.0,10.4158333333,1.0,271.895875,1.0,371.966,1.0,2.143,1.0,44.542,1.0,-6.14433,1.0,1.62741,1.0,2.62334,-9999,-9999,-9999,-0.552975,1.0,-0.89138,-9999,-9999,-9999,0.571179,1.0,-9999,0.571179,0.578078,0.587357,1.0,1.0,1.0,0.619226,0.619226,0.655321,0.728215,0.035584,0.035584,0.0790694,0.133792,0.410056,0.320336,0.385264,0.456885,0.0,0.0,0.00205413,0.00731898,-9999,-9999
19990104,-14.937,0.0,167.812,74.444,1.0,244.692,1.0,1.22,0.0,99.152,0.333333,0.0,1.0,4.379,0.291667,-9999,0.0,57.7775,1.0,183.239166667,1.0,-9999,0.0,18.8104166667,1.0,243.545833333,1.0,364.475,0.916667,2.333,1.0,45.0,1.0,-6.59008,1.0,4.59055,0.916667,7.14805,-9999,-9999,-9999,17.9062,0.916667,27.8822,-9999,-9999,-9999,0.60726,0.875,-9999,0.558656,0.593329,0.60726,0.875,0.875,0.875,0.315964,0.315964,0.345447,0.407993,-0.239368,-0.283201,-0.239368,-0.159736,0.295432,0.235552,0.295742,0.402655,0.0,0.0,0.00993617,0.0347934,-9999,-9999
19990105,-15.671,0.0,168.611,117.227,0.916667,252.167,1.0,1.32,0.0,99.25,1.0,0.0,1.0,4.167,0.958333,0.495869565217,0.958333333333,89.7669565217,0.958333333333,249.373333333,1.0,-9999,0.0,24.952173913,0.958333333333,247.804347826,0.958333333333,371.445,1.0,1.992,1.0,45.0,1.0,-9.16396,1.0,4.82262,1.0,7.43513,-9999,-9999,-9999,23.8746,1.0,36.808,-9999,-9999,-9999,0.5424,1.0,-9999,0.433278,0.489526,0.504958,1.0,1.0,1.0,0.330229,0.330229,0.355993,0.410653,-0.0993267,-0.172597,-0.105641,-0.0328419,0.317378,0.294519,0.326308,0.420665,0.0,0.0,0.0146346,0.0594857,-9999,-9999
19990106,-1.475,0.0,169.47,39.705,0.916667,286.291,0.916667,1.827,0.0,98.385,0.541667,3.0,1.0,5.628,0.541667,0.817615384615,0.541666666667,31.0076923077,0.541666666667,46.5490909091,0.916666666667,-9999,0.0,12.0076923077,0.541666666667,305.353846154,0.541666666667,371.569,0.916667,2.009,1.0,44.0,1.0,-7.20804,1.0,3.32603,0.916667,5.07657,-9999,-9999,-9999,0.928182,0.916667,1.4167,-9999,-9999,-9999,0.964317,0.916667,-9999,0.86184,0.917985,0.962224,0.916667,0.916667,0.916667,1.03279,1.03279,1.0648,1.12718,0.177742,0.0761832,0.168441,0.255352,0.828974,0.824494,0.874257,0.896558,0.0,0.0,0.00163835,0.0201266,-9999,-9999
19990107,-11.094,0.0,170.385,59.981,1.0,250.296,1.0,1.268,0.0,99.375,1.0,0.0,1.0,2.02,1.0,0.291260869565,0.958333333333,29.6533333333,1.0,107.015,1.0,-9999,-9999,14.7275416667,1.0,265.895875,1.0,372.751,1.0,2.278,1.0,44.0,1.0,-5.89487,1.0,5.44013,1.0,8.34589,-9999,-9999,-9999,17.3273,1.0,26.1801,-9999,-9999,-9999,0.646324,1.0,-9999,0.643196,0.647151,0.681554,1.0,1.0,1.0,0.484263,0.484263,0.518547,0.589072,-0.158933,-0.167256,-0.155055,-0.0757736,0.40865,0.410723,0.43794,0.465218,0.0,0.0,0.0,0.0204589,-9999,-9999
19990108,-4.541,0.0,171.357,13.315,1.0,285.442,1.0,1.213,0.0,98.096,1.0,0.0,1.0,2.359,0.416667,-9999,0.0,10.0575,1.0,13.9634782609,0.958333333333,-9999,0.0,4.47,1.0,284.229166667,1.0,374.415,1.0,2.359,1.0,44.167,1.0,-6.19892,1.0,0.231692,1.0,0.355447,-9999,-9999,-9999,-14.3355,1.0,-21.6597,-9999,-9999,-9999,0.521722,1.0,-9999,0.519611,0.523854,0.537479,1.0,1.0,1.0,0.841444,0.841444,0.876674,0.946295,0.308085,0.304641,0.328573,0.392113,0.796855,0.794386,0.813839,0.879415,0.0,0.0,0.0,0.00146146,-9999,-9999
19990109,-9.673,0.0,172.386,91.989,0.833333,267.346,1.0,1.249,0.0,98.7,1.0,0.0,1.0,3.857,0.0,-9999,0.0,85.8316666667,1.0,159.347083333,1.0,-9999,0.0,27.7791666667,1.0,265.545833333,1.0,370.717,0.833333,2.368,1.0,44.083,1.0,-6.28987,1.0,3.09831,0.833333,4.73913,-9999,-9999,-9999,8.29427,0.833333,12.4942,-9999,-9999,-9999,0.723283,0.833333,-9999,0.713173,0.722476,0.726736,0.833333,0.833333,0.833333,0.569921,0.569921,0.603836,0.672897,-0.1453,-0.152555,-0.115223,-0.0668465,0.60537,0.60537,0.620819,0.658092,0.0140367,0.0,0.0,0.013904,-9999,-9999
19990110,-11.774,0.0,173.471,56.688,1.0,260.788,1.0,1.419,0.0,98.753,0.958333,0.0,1.0,4.326,0.583333,0.823214285714,0.583333333333,39.9229166667,1.0,87.498375,1.0,-9999,0.0,15.3904166667,1.0,262.1625,1.0,370.954,1.0,2.303,1.0,44.458,1.0,-6.95883,1.0,3.31744,1.0,5.006,-9999,-9999,-9999,10.7943,1.0,16.0379,-9999,-9999,-9999,0.784771,1.0,-9999,0.778463,0.780087,0.784771,1.0,1.0,1.0,0.477743,0.477743,0.509243,0.574289,-0.296129,-0.301129,-0.271923,-0.216926,0.544458,0.531726,0.538579,0.557938,0.0317058,0.0,0.0,0.0313577,-9999,-9999
