TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20020101,-8.85,1.0,109.86,22.505,1.0,174.497,0.0,0.63,1.0,91.422,0.0,0.0,1.0,0.609,0.9375,0.146923076923,0.541666666667,-9999,0.0,43.8764583333,1.0,32.8772916667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,393.291,1.0,-0.125,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.48937,1.0,0.408684,0.9375,0.968292,-9999,-9999,0.374917,-15.4632,0.9375,-36.5407,-9999,-9999,2.02767,-1.38934,0.9375,-9999,-1.51707,-1.36682,-0.498563,0.9375,0.9375,0.708333,0.0,0.0,0.0,0.0,1.38934,0.498563,1.36681,1.38934,0.667845,0.734435,0.920092,1.17131,0.161222,0.0741705,0.150438,0.158791,-9999,-9999
20020102,-8.699,1.0,110.475,20.913,1.0,192.109,0.0,0.662,1.0,91.307,0.0,0.0,1.0,0.457,0.916667,-9999,0.0,-9999,0.0,41.0020833333,1.0,27.9214583333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,403.783,1.0,-0.14,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.20309,1.0,0.764895,0.9375,1.80751,1.72552,1.81345,0.367487,-15.7797,0.9375,-37.2887,-37.4112,-35.5973,1.94539,-1.35749,0.9375,-9999,-1.45493,-1.28784,-0.567127,0.9375,0.9375,0.708333,0.0,0.0,0.0,0.0,1.35749,0.567127,1.28784,1.35749,0.671475,0.738428,0.934525,1.18716,0.149762,0.0686723,0.139738,0.147137,-9999,-9999
20020103,-9.459,1.0,111.147,18.539,1.0,193.582,0.0,0.512,1.0,91.146,0.0,0.0,1.0,0.494,0.833333,0.131111111111,0.5625,-9999,0.0,43.7772916667,1.0,28.181875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,408.394,1.0,-0.024,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.07602,1.0,0.395484,0.958333,0.937631,0.892169,0.979883,0.376605,-15.8376,0.958333,-37.4256,-39.2406,-35.728,1.88276,-1.62179,0.9375,-9999,-1.67504,-1.54181,-0.900066,0.9375,0.9375,0.75,0.0,0.0,0.0,0.0,1.62179,0.900066,1.54181,1.62179,0.653,0.718111,0.865324,1.11028,0.132727,0.0606967,0.123839,0.130133,-9999,-9999
20020104,-9.098,1.0,111.878,20.125,1.0,181.728,0.0,0.455,0.979167,91.408,0.0,0.0,1.0,0.472,0.666667,-9999,0.0,-40.4464583333,1.0,47.5897916667,1.0,28.1177083333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,418.94,1.0,0.027,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.29,1.0,0.791687,0.9375,1.87697,1.78596,1.96155,0.438729,-15.4283,0.9375,-36.4582,-38.2263,-34.8045,1.86288,-1.48901,0.916667,-9999,-1.5962,-1.42535,-0.762833,0.916667,0.916667,0.75,0.0,0.0,0.0,0.0,1.48901,0.762833,1.42535,1.48901,0.661661,0.727635,0.899289,1.14766,0.143788,0.0644653,0.134126,0.138927,-9999,-9999
20020105,-8.489,1.0,112.667,22.141,1.0,205.327,0.0,0.554,0.958333,91.676,0.0,0.0,1.0,0.584,0.854167,0.1416,0.520833333333,-32.9445833333,1.0,50.5464583333,1.0,30.496875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,422.403,1.0,-0.174,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.48354,1.0,1.11602,0.979167,2.64591,2.51762,2.76514,0.456214,-16.8238,1.0,-39.7559,-41.6839,-37.9526,2.0131,-1.07113,0.9375,-9999,-1.35814,-1.07113,-0.324655,0.9375,0.9375,0.75,0.0,0.0,0.0,0.0,1.07113,0.324655,1.07113,1.22917,0.676315,0.74375,0.956299,1.2105,0.158083,0.0703728,0.147447,0.151939,-9999,-9999
20020106,-7.825,1.0,113.516,26.012,1.0,202.055,0.0,0.562,0.958333,91.578,0.0,0.0,1.0,0.419,0.833333,-9999,0.0,-28.0360416667,1.0,57.9,1.0,32.0545833333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,428.43,1.0,-0.248,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.29396,1.0,0.862391,0.958333,2.04459,1.94546,2.13673,0.45636,-14.2524,1.0,-33.6796,-35.313,-32.1519,1.98079,-0.444707,0.895833,-9999,-0.758072,-0.444707,0.116564,0.895833,0.895833,0.729167,0.0,0.0,0.0,0.00988063,0.444707,-0.106683,0.444707,0.758072,0.692301,0.76133,1.01812,1.27873,0.185557,0.0818464,0.173053,0.177159,-9999,-9999
20020107,-6.963,1.0,114.421,31.619,1.0,213.596,0.0,0.633,0.916667,91.179,0.0,0.0,1.0,0.643,0.833333,0.170714285714,0.583333333333,-24.3554166667,1.0,58.690625,1.0,32.0097916667,1.0,-9999,-9999,-9999,-9999,-9999,-9999,424.431,1.0,-0.22,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.265,1.0,0.856757,0.979167,2.03124,1.93275,2.12277,0.46473,-13.2187,1.0,-31.2369,-32.7518,-29.82,1.88566,-0.139011,0.875,-9999,-0.754087,-0.139011,0.494253,0.875,0.875,0.833333,0.122522,0.0150361,0.0315642,0.122522,0.261533,-0.231057,0.261533,0.75628,0.712658,0.783717,1.10247,1.37052,0.2248,0.0960133,0.209539,0.211524,-9999,-9999
20020108,-7.812,1.0,115.385,34.609,1.0,199.922,0.0,0.892,0.916667,91.532,0.0,0.0,1.0,0.373,0.416667,-9999,0.0,-22.450625,1.0,69.01,1.0,40.9985416667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,428.757,1.0,-0.573,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.85636,1.0,0.768403,1.0,1.82176,1.73344,1.90386,0.462853,-12.8967,0.979167,-30.476,-31.954,-29.0936,1.9495,-0.354944,0.9375,-9999,-0.691711,-0.354944,0.154619,0.9375,0.9375,0.875,0.37501,0.160415,0.208491,0.37501,0.729954,0.415703,0.729954,0.852127,0.692738,0.761811,1.01821,1.2792,0.245753,0.104115,0.227546,0.231249,-9999,-9999
20020109,-7.018,1.0,116.407,30.587,1.0,212.094,0.0,0.959,0.916667,91.898,0.0,0.0,1.0,0.348,0.291667,-9999,0.0,-20.9445833333,1.0,63.3933333333,1.0,28.9791666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,421.989,1.0,-0.813,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.00833,1.0,0.713634,1.0,1.69192,1.60988,1.76816,0.473716,-13.7924,1.0,-32.5925,-34.1732,-31.1142,1.7962,0.28926,0.875,-9999,-0.378815,0.28926,1.04945,0.875,0.875,0.8125,0.712388,0.45449,0.502755,0.712388,0.423127,-0.0600084,0.423127,0.838631,0.71128,0.782201,1.09762,1.36504,0.217498,0.0930764,0.202762,0.204653,-9999,-9999
20020110,-7.539,1.0,117.487,31.574,1.0,208.711,0.0,1.004,0.895833,91.783,0.0,0.0,1.0,0.193,0.854167,-9999,0.0,-21.65,1.0,64.625625,1.0,29.295625,1.0,-9999,0.0,-9999,0.0,-9999,0.0,423.224,1.0,-0.975,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.84312,1.0,0.98069,1.0,2.32506,2.21233,2.42984,0.473053,-10.6616,1.0,-25.1942,-26.416,-24.0514,1.88188,-0.268907,0.875,-9999,-0.709972,-0.268907,0.201284,0.875,0.875,0.875,0.934612,0.652109,0.715267,0.934612,1.20352,1.06557,1.20352,1.34908,0.69908,0.768785,1.04592,1.30904,0.22467,0.0967349,0.209466,0.211396,-9999,-9999
