TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20110101,27.378,1.0,518.084,232.057,1.0,405.542,1.0,23.884,1.0,99.144,1.0,0.0,1.0,2.173,1.0,0.221666666667,1.0,114.711111111,0.9375,42.4583333333,1.0,468.666666667,1.0,356.725,1.0,26.58,1.0,26.406,1.0,9.54167,1.0,47.5714,1.0,60.2551,58.4628,61.9054,2.33855,51.6684,1.0,65.4444,63.4978,67.2369,2.50678,1.17533,0.979167,0.120472,1.11268,1.17533,1.20012,1.0,0.979167,0.979167,3.73363,3.60581,3.73363,3.75185,2.57652,2.49376,2.5258,2.62095,3.06229,3.06229,3.07074,3.08532,1.57321,1.56499,1.57321,1.60917,-9999,-9999
20110102,20.137,1.0,517.628,396.052,1.0,324.208,1.0,12.909,1.0,99.412,1.0,0.0,1.0,4.127,1.0,0.396875,1.0,207.958333333,1.0,73.1458333333,1.0,436.8125,1.0,327.725,1.0,25.378,1.0,24.79,1.0,1.54167,1.0,49.0208,1.0,62.0909,60.244,63.7915,2.16839,118.25,1.0,149.778,145.323,153.88,3.04569,0.322466,1.0,0.11615,0.322466,0.322466,0.322466,1.0,1.0,1.0,2.57952,2.57952,2.58307,2.64212,2.26061,2.25705,2.26061,2.31965,2.84011,2.84011,2.84795,2.86147,2.73174,2.72741,2.73174,2.75106,-9999,-9999
20110103,17.933,1.0,517.121,400.161,1.0,302.625,1.0,11.226,1.0,99.425,1.0,0.0,1.0,4.244,1.0,0.392916666667,1.0,200.208333333,1.0,75.375,1.0,424.666666667,1.0,327.261,1.0,24.119,1.0,23.242,1.0,0.583333,1.0,44.6312,1.0,56.5309,54.8494,58.0792,2.36471,120.586,1.0,152.737,148.194,156.921,3.09253,-0.513259,1.0,0.126867,-0.513744,-0.513259,-0.512738,1.0,1.0,1.0,2.2794,2.2794,2.28012,2.39361,2.79338,2.79214,2.79338,2.90735,2.58362,2.58362,2.59286,2.60546,2.74616,2.74404,2.74616,2.75862,-9999,-9999
20110104,20.481,1.0,516.563,366.766,1.0,334.333,1.0,14.276,1.0,99.136,1.0,0.0,1.0,1.999,1.0,0.205531914894,0.979166666667,192.5,1.0,67.4583333333,1.0,439.166666667,1.0,332.471,1.0,24.811,1.0,22.235,1.0,14.5,1.0,39.5612,1.0,50.6807,48.6186,51.7031,2.39477,96.6372,1.0,123.799,118.762,126.297,2.93118,0.52999,1.0,0.128119,0.518303,0.52999,0.574885,0.979167,1.0,1.0,2.68085,2.65433,2.68085,2.68549,2.15274,2.10597,2.15121,2.16283,2.27986,2.27986,2.30291,2.30451,2.34434,2.33364,2.34659,2.352,-9999,-9999
20110105,20.598,1.0,515.955,354.276,1.0,336.146,1.0,11.983,1.0,98.854,1.0,0.0,1.0,3.656,1.0,0.3375,1.0,184.354166667,1.0,66.5208333333,1.0,437.375,1.0,325.817,1.0,24.959,1.0,21.258,1.0,5.27083,1.0,37.5625,1.0,47.5775,45.5509,49.0911,2.09929,102.229,1.0,129.486,123.97,133.605,3.08135,0.0614414,1.0,0.113061,0.0614414,0.0734251,0.153864,1.0,1.0,0.958333,2.63249,2.62462,2.63249,2.70643,2.56318,2.55137,2.55907,2.59409,2.10569,2.11902,2.12483,2.13687,2.29039,2.29021,2.29131,2.30024,-9999,-9999
20110106,23.535,1.0,515.296,375.193,1.0,353.75,1.0,17.925,1.0,99.035,1.0,0.0,1.0,1.594,1.0,0.154166666667,1.0,204.6875,1.0,69.2291666667,1.0,453.8125,1.0,341.032,1.0,26.11,1.0,20.502,1.0,19.2083,1.0,42.6419,1.0,54.0112,51.7105,55.7294,2.15251,103.794,1.0,131.468,125.868,135.65,2.96825,0.146264,0.958333,0.133251,0.136023,0.146264,0.202967,0.958333,0.958333,0.916667,3.11493,3.00734,3.10131,3.11493,2.95505,2.90511,2.95505,2.97891,2.17384,2.17958,2.18498,2.19496,2.38203,2.38203,2.39619,2.40175,-9999,-9999
20110107,25.889,1.0,514.587,274.896,1.0,380.854,1.0,18.977,1.0,99.174,1.0,0.0,1.0,3.055,1.0,0.267291666667,1.0,143.916666667,1.0,52.25,1.0,458.625,1.0,327.758,1.0,26.065,1.0,19.648,1.0,9.91667,1.0,44.125,1.0,55.8898,53.509,57.6677,3.16066,66.375,1.0,84.0721,80.491,86.7466,3.09714,-0.666044,1.0,0.152093,-0.667001,-0.666044,-0.605504,1.0,1.0,1.0,3.4357,3.29248,3.4119,3.4357,4.07795,3.98499,4.05547,4.08075,2.56273,2.54503,2.55109,2.57871,2.33552,2.33506,2.33552,2.35826,-9999,-9999
20110108,26.919,1.0,513.828,337.901,1.0,391.563,1.0,19.29,1.0,99.166,1.0,0.0,1.0,3.143,1.0,0.289583333333,1.0,192.9375,1.0,62.3333333333,1.0,472.75,1.0,327.612,1.0,27.255,1.0,19.117,1.0,20.7708,1.0,42.4448,1.0,54.3749,52.1624,55.4718,3.10018,89.8573,1.0,115.114,110.43,117.436,3.16703,0.0030009,0.979167,0.180579,-0.0132398,0.0030009,0.0300313,0.979167,0.979167,0.979167,3.68505,3.52848,3.63363,3.68505,3.63063,3.53344,3.63063,3.63119,3.25667,3.18787,3.21089,3.28477,3.05158,3.01497,3.04032,3.07851,-9999,-9999
20110109,23.86,1.0,513.018,188.897,0.9375,407.354,1.0,9.615,1.0,99.517,1.0,3.2,1.0,3.38,0.958333,0.304782608696,0.958333333333,72.7441860465,0.895833333333,38.8333333333,1.0,447.916666667,1.0,339.529,1.0,26.08,1.0,18.527,1.0,-1.875,1.0,36.1793,1.0,46.3484,44.6463,47.2834,3.50447,59.4316,1.0,76.1363,73.3402,77.6722,2.89109,1.4576,1.0,0.175812,1.44476,1.45771,1.46884,1.0,1.0,1.0,3.42345,3.31768,3.37586,3.42345,1.91826,1.83621,1.91826,1.96573,3.76336,3.68889,3.71691,3.78868,2.33779,2.30724,2.30735,2.34962,-9999,-9999
20110110,23.156,1.0,512.159,149.441,0.979167,411.271,1.0,7.067,1.0,99.409,1.0,7.0,1.0,1.901,0.895833,0.181395348837,0.895833333333,68.1818181818,0.916666666667,26.2291666667,1.0,440.166666667,1.0,350.955,1.0,24.483,1.0,20.819,1.0,-2.4375,1.0,43.6074,1.0,56.7165,55.2342,58.6674,2.55053,17.0325,1.0,22.1527,21.5737,22.9147,2.34964,3.03575,0.958333,0.171888,2.91597,3.00758,3.03575,0.958333,0.958333,0.958333,3.61511,3.56755,3.58217,3.61511,0.545042,0.542076,0.614569,0.698323,4.24947,4.21615,4.23693,4.24947,1.8901,1.8489,1.86684,1.8901,-9999,-9999
