TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20070101,-10.073,0.0,127.785,75.031,0.645833,208.112,0.0,0.606,0.0,100.237,0.0,0.0,0.0,1.783,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.4107,0.0,10.5937,-9999,-9999,-9999,68.754,0.0,47.2633,-9999,-9999,-9999,0.154991,0.0,-9999,0.154452,0.16027,0.202805,0.0,0.0,0.0,0.132889,0.12096,0.127736,0.137413,-0.0221028,-0.0653176,-0.0354146,-0.0271086,0.428296,0.00307177,0.428296,0.518236,0.361714,0.215945,0.363132,0.452121,-9999,-9999
20070102,-11.428,0.0,128.407,74.32,0.645833,205.352,0.0,0.629,0.0,100.632,0.0,0.0,0.0,1.365,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.8483,0.0,9.92978,-9999,-9999,-9999,29.1034,0.0,19.4629,-9999,-9999,-9999,0.167376,0.0,-9999,0.156856,0.167376,0.177299,0.0,0.0,0.0,0.115444,0.104678,0.110899,0.119478,-0.0519323,-0.0583079,-0.0521773,-0.0462967,0.405083,0.00232141,0.405083,0.490148,0.360906,0.215057,0.362427,0.451328,-9999,-9999
20070103,-10.191,0.0,129.089,75.284,0.645833,207.257,0.0,0.831,0.0,100.707,0.0,0.0,0.0,1.169,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.1985,0.0,20.6307,-9999,-9999,-9999,34.0375,0.0,21.809,-9999,-9999,-9999,0.414021,0.0,-9999,0.412826,0.425057,0.472155,0.0,0.0,0.0,0.133113,0.121294,0.127974,0.137613,-0.280908,-0.334396,-0.304042,-0.287076,0.425677,0.0034246,0.425677,0.515066,0.362693,0.216592,0.364083,0.453277,-9999,-9999
20070104,-9.663,0.0,129.829,75.733,0.645833,211.319,0.0,0.721,0.0,100.397,0.0,0.0,0.0,2.047,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.4107,0.0,9.8742,-9999,-9999,-9999,68.754,0.0,44.0531,-9999,-9999,-9999,0.154991,0.0,-9999,0.154452,0.16027,0.202805,0.0,0.0,0.0,0.142648,0.130389,0.13721,0.147298,-0.0123431,-0.0554366,-0.0259916,-0.0176655,0.433809,0.00443783,0.433809,0.524906,0.363534,0.217293,0.364868,0.454203,-9999,-9999
20070105,-7.221,0.0,130.629,50.285,0.645833,241.808,0.0,0.571,0.0,99.6,0.0,0.112,0.0,2.61,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.8483,0.0,9.51382,-9999,-9999,-9999,29.1034,0.0,18.6475,-9999,-9999,-9999,0.167376,0.0,-9999,0.156856,0.167376,0.177299,0.0,0.0,0.0,0.178013,0.163653,0.171387,0.183351,0.0106365,-0.00107636,0.0105504,0.0140007,0.474397,0.006586,0.474397,0.574017,0.312204,0.174079,0.314679,0.397711,-9999,-9999
20070106,-9.506,0.0,131.486,43.395,0.645833,247.357,0.0,0.518,0.0,99.534,0.0,0.071,0.0,4.436,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.1985,0.0,20.6307,-9999,-9999,-9999,34.0375,0.0,21.809,-9999,-9999,-9999,0.414021,0.0,-9999,0.412826,0.425057,0.472155,0.0,0.0,0.0,0.139505,0.127067,0.134112,0.144232,-0.274516,-0.327845,-0.297207,-0.281056,0.438282,0.00304741,0.438282,0.530318,0.293284,0.159397,0.29689,0.376261,-9999,-9999
20070107,-12.272,0.0,132.402,79.128,0.645833,196.627,0.0,0.743,0.0,99.958,0.0,0.0,0.0,2.634,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.4107,0.0,10.9257,-9999,-9999,-9999,68.754,0.0,48.7444,-9999,-9999,-9999,0.154991,0.0,-9999,0.154452,0.16027,0.202805,0.0,0.0,0.0,0.102106,0.0920787,0.0979993,0.105802,-0.0528854,-0.0969361,-0.0645417,-0.0570151,0.391381,0.00146079,0.391381,0.473568,0.369927,0.222677,0.370824,0.461239,-9999,-9999
20070108,-17.895,0.0,133.376,85.849,0.645833,190.486,0.0,0.095,0.0,100.094,0.0,0.0,0.0,3.343,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.8483,0.0,10.653,-9999,-9999,-9999,29.1034,0.0,20.8804,-9999,-9999,-9999,0.167376,0.0,-9999,0.156856,0.167376,0.177299,0.0,0.0,0.0,0.0430048,0.0376109,0.0411001,0.0448679,-0.124372,-0.13286,-0.121483,-0.11689,0.291358,0.00012671,0.291358,0.352541,0.378369,0.230903,0.378614,0.470062,-9999,-9999
20070109,-18.392,0.0,134.407,88.232,0.645833,177.106,0.0,0.123,0.0,100.533,0.0,0.0,0.0,3.625,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.1985,0.0,16.6216,-9999,-9999,-9999,34.0375,0.0,17.5709,-9999,-9999,-9999,0.414021,0.0,-9999,0.412826,0.425057,0.472155,0.0,0.0,0.0,0.040818,0.0357018,0.0390104,0.0425858,-0.373203,-0.427388,-0.394519,-0.375453,0.282041,0.000128851,0.282041,0.341268,0.381482,0.233958,0.381708,0.473299,-9999,-9999
20070110,-14.329,0.0,135.496,84.487,0.645833,176.881,0.0,0.908,0.0,100.682,0.0,0.0,0.0,2.525,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.4107,0.0,8.27545,-9999,-9999,-9999,68.754,0.0,36.9204,-9999,-9999,-9999,0.154991,0.0,-9999,0.154452,0.16027,0.202805,0.0,0.0,0.0,0.0782565,0.0699729,0.0750051,0.0812446,-0.076735,-0.121503,-0.0877521,-0.0819901,0.355345,0.000768219,0.355345,0.429965,0.378438,0.230248,0.378693,0.470441,-9999,-9999
