TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040101,-3.41,1.0,83.2751,25.256,1.0,281.508,0.0,0.435,1.0,97.432,0.0,0.2,1.0,1.268,0.0,-9999,0.0,-9.78872340426,0.979166666667,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,396.056,0.875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.9149,1.0,12.6823,0.854167,7.35138,-9999,-9999,1.7212,-1.96694,1.0,-0.998692,-9999,-9999,1.47865,0.564355,0.875,0.116409,0.571762,0.571762,0.593745,0.875,0.875,0.875,0.576142,0.576142,0.639301,0.698056,0.0117871,0.0117871,0.067538,0.0745656,0.290764,0.264825,0.268396,0.376699,0.0,0.0,0.0,0.108759,-9999,-9999
20040102,-4.697,1.0,83.8651,17.965,1.0,270.162,0.0,0.317,1.0,97.312,0.0,0.1,1.0,1.839,0.0,-9999,0.0,2.1925,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,398.11,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.68542,1.0,10.6079,1.0,7.00238,-9999,-9999,1.67552,-1.83271,1.0,-1.07113,-9999,-9999,1.4396,0.659132,1.0,0.117025,0.659132,0.659132,0.744115,1.0,1.0,1.0,0.527639,0.527639,0.583859,0.638966,-0.131494,-0.213667,-0.0752729,-0.069826,0.280444,0.255426,0.25887,0.363329,0.0,0.0,0.0,0.0775524,-9999,-9999
20040103,-7.475,1.0,84.5129,30.142,0.479167,245.27,0.0,0.337,1.0,97.824,0.0,0.0,1.0,1.211,0.0,-9999,0.0,-3.229375,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,396.887,0.416667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.91677,1.0,2.56942,0.416667,1.89321,-9999,-9999,1.57925,0.319415,0.416667,0.211186,-9999,-9999,1.42021,0.658557,0.416667,0.117259,0.643383,0.643542,0.658599,0.416667,0.416667,0.416667,0.433656,0.433656,0.477457,0.524669,-0.224901,-0.224901,-0.178111,-0.157073,0.256282,0.233419,0.236566,0.332025,0.0,0.0,0.0,0.1297,-9999,-9999
20040104,-8.01,1.0,85.2171,22.735,0.0,249.904,0.0,0.429,1.0,97.269,0.0,1.5,1.0,1.253,0.0416667,-9999,0.0,0.287291666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,396.547,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.76865,1.0,1.60296,0.0,1.29078,-9999,-9999,1.47498,1.76703,0.0625,1.30385,-9999,-9999,1.49377,0.672543,0.0,0.116088,0.610202,0.656728,0.672543,0.0,0.0,0.0,0.414999,0.414999,0.456275,0.501967,-0.257544,-0.233623,-0.200453,-0.17551,0.251723,0.229267,0.232358,0.326119,0.0,0.0,0.0,0.0980389,-9999,-9999
20040105,-9.396,1.0,85.9785,30.138,0.875,232.421,0.0,0.241,1.0,97.513,0.0,4.2,1.0,0.942,1.0,0.1175,1.0,-5.075,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,396.726,0.979167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.42271,1.0,1.22044,0.979167,1.06626,-9999,-9999,1.41241,1.42646,1.0,1.14214,-9999,-9999,1.35252,0.617193,0.979167,0.115515,0.610291,0.611815,0.618626,0.8125,0.979167,0.8125,0.379041,0.379041,0.416342,0.458391,-0.238152,-0.240435,-0.193402,-0.190461,0.243431,0.245957,0.248144,0.308787,0.0,0.00844154,0.00865335,0.129542,-9999,-9999
20040106,-8.339,1.0,86.7973,41.436,1.0,242.066,0.0,0.799,1.0,97.895,0.0,4.4,1.0,3.74,1.0,0.259791666667,1.0,6.03791666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,389.693,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.68198,1.0,9.64196,1.0,9.08368,-9999,-9999,1.61611,-7.64615,1.0,-6.53894,-9999,-9999,1.49948,0.622534,1.0,0.114835,0.620091,0.626105,0.659168,1.0,1.0,1.0,0.422519,0.422519,0.466168,0.511386,-0.200015,-0.200015,-0.153191,-0.144441,0.265084,0.319385,0.330227,0.361286,0.0,0.0309033,0.0316376,0.177497,-9999,-9999
20040107,1.866,1.0,87.6728,15.351,1.0,310.942,0.0,0.404,1.0,97.328,0.0,7.5,1.0,3.017,1.0,0.160208333333,1.0,-0.0877083333333,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,393.028,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.582917,1.0,-1.83322,1.0,-1.84674,-9999,-9999,2.1235,-11.0875,1.0,-10.2406,-9999,-9999,1.53245,0.549479,1.0,0.122081,0.511764,0.549479,0.562961,1.0,1.0,1.0,0.769406,0.769406,0.858811,0.912423,0.219927,0.219927,0.30252,0.433367,0.480312,0.480312,0.596828,0.629155,0.0314566,0.0525655,0.0561565,0.0663183,-9999,-9999
20040108,0.886,1.0,88.6052,47.972,1.0,270.686,0.0,1.354,1.0,97.207,0.0,0.0,1.0,2.024,0.8125,0.214615384615,0.8125,-25.7133333333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,388.125,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.206354,1.0,3.90321,1.0,4.18677,-9999,-9999,1.43689,-10.1523,1.0,-10.0396,-9999,-9999,1.32149,0.454326,1.0,0.122867,0.445935,0.454326,0.517656,1.0,1.0,1.0,0.682764,0.682764,0.724892,0.752535,0.228439,0.203833,0.214205,0.299191,0.701914,0.681853,0.781341,0.835585,0.282858,0.267889,0.340095,0.348436,-9999,-9999
20040109,0.759,1.0,89.5946,10.289,1.0,293.711,0.0,0.923,1.0,96.171,0.0,3.6,1.0,2.755,1.0,0.204375,1.0,-6.58208333333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,387.166,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.43,1.0,5.5858,1.0,6.13735,-9999,-9999,1.61597,-5.96646,1.0,-6.05588,-9999,-9999,1.76448,0.686233,1.0,0.122841,0.573054,0.641811,0.686233,1.0,1.0,1.0,0.633976,0.633194,0.634908,0.653414,-0.0522571,-0.0580071,-0.0392462,0.06014,0.909487,0.746881,0.909487,0.970952,0.10934,0.0998936,0.105244,0.10934,-9999,-9999
20040110,1.68,1.0,90.641,6.14,1.0,321.734,0.0,0.349,1.0,96.655,0.0,2.3,1.0,3.091,1.0,0.132291666667,1.0,3.37104166667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,382.733,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.813438,1.0,4.92892,1.0,5.72939,-9999,-9999,1.1482,-10.4085,1.0,-12.0989,-9999,-9999,1.9585,0.54108,1.0,0.113927,0.510943,0.527362,0.544318,1.0,1.0,1.0,0.654948,0.62644,0.64426,0.654948,0.113867,0.0862784,0.113867,0.149018,1.11378,0.667152,0.970464,1.10032,0.111975,0.0667327,0.0744357,0.0857837,-9999,-9999
