TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20080101,-6.279,0.0,118.866,70.744,0.666667,204.6,0.0,1.935,0.0,78.341,0.0,0.0,0.0,0.491,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,95.9505,0.0,156.893,-9999,-9999,-9999,29.0368,0.0,47.4794,-9999,-9999,-9999,-3.73328,0.0,-9999,-3.94691,-3.76414,-3.57422,0.0,0.0,0.0,1.9869,1.58695,1.66755,2.1065,5.75103,5.43957,5.5553,6.11482,1.80601,1.66498,1.83154,4.88265,3.26981,2.72576,3.26523,4.15062,-9999,0.0
20080102,-7.428,0.0,119.486,51.855,0.666667,221.548,0.0,1.792,0.0,77.921,0.0,0.362,0.0,1.015,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.6854,0.0,159.73,-9999,-9999,-9999,32.716,0.0,53.4955,-9999,-9999,-9999,-4.23974,0.0,-9999,-4.41588,-4.2538,-4.07246,0.0,0.0,0.0,1.86624,1.47201,1.54703,1.98915,6.34666,5.74944,5.89981,6.46957,1.74039,1.57408,1.76445,4.70524,2.58933,2.11039,2.58557,3.34995,-9999,0.0
20080103,-8.745,0.0,120.163,30.326,0.666667,246.235,0.0,1.544,0.0,77.521,0.0,2.921,0.0,1.755,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,99.7464,0.0,163.1,-9999,-9999,-9999,36.1875,0.0,59.1719,-9999,-9999,-9999,-4.68012,0.0,-9999,-4.80992,-4.76272,-4.7104,0.0,0.0,0.0,1.72882,1.34373,1.41249,1.85435,6.62027,6.06673,6.17403,6.79197,1.66246,1.28415,1.68545,4.49455,1.65307,1.3109,1.65057,2.19153,-9999,0.0
20080104,-6.306,0.0,120.9,28.248,0.666667,261.673,0.0,1.511,0.0,78.019,0.0,3.211,0.0,1.183,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,95.9505,0.0,156.893,-9999,-9999,-9999,29.0368,0.0,47.4794,-9999,-9999,-9999,-3.73328,0.0,-9999,-3.94691,-3.76414,-3.57422,0.0,0.0,0.0,1.98421,1.58457,1.66505,2.1038,5.74835,5.43708,5.55198,6.11292,1.80431,1.66342,1.82982,4.87806,1.53787,1.21955,1.53554,2.03953,-9999,0.0
20080105,-4.422,0.0,121.695,11.064,0.666667,284.472,0.0,1.534,0.0,78.149,0.0,4.706,0.0,0.946,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.6854,0.0,-9999,-9999,-9999,-9999,32.716,0.0,-9999,-9999,-9999,-9999,-4.23974,0.0,-9999,-4.41588,-4.2538,-4.07246,0.0,0.0,0.0,2.18226,1.77393,1.86358,2.33743,6.66268,6.04221,6.20291,6.81657,1.91119,1.76195,1.93821,5.16703,0.669276,0.512606,0.668209,0.916944,-9999,0.0
20080106,-2.703,0.0,122.549,37.603,0.666667,277.679,0.0,1.618,0.0,78.003,0.0,7.252,0.0,1.186,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,99.7464,0.0,-9999,-9999,-9999,-9999,36.1875,0.0,-9999,-9999,-9999,-9999,-4.68012,0.0,-9999,-4.80992,-4.76272,-4.7104,0.0,0.0,0.0,2.36315,1.95122,2.04941,2.59229,7.2546,6.6588,6.71629,7.50195,2.00388,1.8474,2.03221,5.4176,1.98748,1.59181,1.98452,2.61108,-9999,0.0
20080107,-1.701,0.0,123.46,33.48,0.666667,279.456,0.0,1.602,0.0,78.508,0.0,3.057,0.0,1.115,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,95.9505,0.0,-9999,-9999,-9999,-9999,29.0368,0.0,-9999,-9999,-9999,-9999,-3.73328,0.0,-9999,-3.94691,-3.76414,-3.57422,0.0,0.0,0.0,2.46857,2.05514,2.15832,2.76287,6.2327,5.9268,6.1178,6.38134,2.05726,1.89661,2.08634,5.56191,1.78931,1.4278,1.78663,2.35894,-9999,0.0
20080108,-3.975,0.0,124.43,80.549,0.666667,220.491,0.0,2.131,0.0,78.75,0.0,0.011,0.0,0.695,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.6854,0.0,-9999,-9999,-9999,-9999,32.716,0.0,-9999,-9999,-9999,-9999,-4.23974,0.0,-9999,-4.41588,-4.2538,-4.07246,0.0,0.0,0.0,2.22914,1.82124,1.91316,2.38683,6.70956,6.0823,6.243,6.86141,1.93371,1.78271,1.96105,5.22789,3.58628,3.02082,3.58134,4.514,-9999,0.0
20080109,-4.336,0.0,125.458,24.768,0.666667,267.623,0.0,1.847,0.0,78.599,0.0,0.332,0.0,0.376,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,99.7464,0.0,-9999,-9999,-9999,-9999,36.1875,0.0,-9999,-9999,-9999,-9999,-4.68012,0.0,-9999,-4.80992,-4.76272,-4.7104,0.0,0.0,0.0,2.19126,1.78321,1.87331,2.34567,7.0827,6.50029,6.57023,7.23712,1.91528,1.76572,1.94236,5.17808,1.37688,1.0846,1.37478,1.83718,-9999,0.0
20080110,-4.044,0.0,126.544,74.572,0.666667,245.863,0.0,1.873,0.0,78.66,0.0,0.0,0.0,0.565,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,95.9505,0.0,-9999,-9999,-9999,-9999,29.0368,0.0,-9999,-9999,-9999,-9999,-3.73328,0.0,-9999,-3.94691,-3.76414,-3.57422,0.0,0.0,0.0,2.22199,1.81455,1.90614,2.37661,5.98613,5.67816,5.89064,6.24632,1.92968,1.779,1.95696,5.217,3.38813,2.83773,3.38341,4.28459,-9999,0.0
