TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040101,-0.603,0.0,74.5689,6.415,0.0,313.36,0.0,0.212,0.0,101.311,0.0,1.89,0.0,3.865,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,387.817,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.75394,0.0,2.73286,-9999,-9999,-9999,-11.5082,0.0,-2.80023,-9999,-9999,-9999,0.644633,0.0,-9999,0.644633,0.665899,0.679761,0.0,0.0,0.0,2.5608,2.52808,2.57121,2.86149,2.16802,1.85813,1.91488,2.18234,0.687025,0.59106,0.684729,0.687027,0.247245,0.258424,0.258642,0.274091,-9999,-9999
20040102,-1.601,0.0,75.1478,31.298,0.0,262.057,0.0,0.985,0.0,101.838,0.0,0.268,0.0,2.87,0.0,0.262550574468,0.979166666667,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,387.739,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.6351,0.541667,2.53618,-9999,-9999,-9999,-11.3839,1.0,-2.5596,-9999,-9999,-9999,0.652987,0.354167,-9999,0.652987,0.653814,0.653814,0.354167,0.458333,0.458333,2.41644,2.38291,2.42433,2.72636,2.03564,1.7291,1.78201,2.05883,0.670216,0.576598,0.667975,0.670218,1.13425,1.17871,1.17956,1.23316,-9999,-9999
20040103,-2.769,0.0,75.7829,17.06,0.0,279.723,0.0,0.472,0.0,102.256,0.0,0.675,0.0,2.193,0.0,0.150881020833,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,396.273,0.354167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,6.79384,0.4375,1.86983,-9999,-9999,-9999,-7.09378,1.0,-1.56008,-9999,-9999,-9999,0.535542,0.333333,-9999,0.565074,0.565074,0.617148,0.333333,0.333333,0.25,2.25031,2.21605,2.25526,2.56912,1.97753,1.59341,1.67573,1.98984,0.650119,0.559309,0.647946,0.650121,0.639711,0.666882,0.667406,0.70289,-9999,-9999
20040104,4.397,0.0,76.4745,19.003,0.0,330.155,0.0,0.729,0.0,101.398,0.0,3.105,0.0,3.53,0.0,0.229299229167,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,388.111,0.3125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.93267,0.3125,2.41559,-9999,-9999,-9999,-13.6044,1.0,-2.92494,-9999,-9999,-9999,0.661769,0.291667,-9999,0.661769,0.667584,0.679278,0.291667,0.291667,0.0416667,3.31037,3.28447,3.33111,3.54283,2.84873,2.58406,2.65483,2.8652,0.765972,0.658979,0.763411,0.765974,0.709081,0.738855,0.739428,0.77789,-9999,-9999
20040105,4.73,0.0,77.2221,11.456,0.0,339.359,0.0,0.425,0.0,101.684,0.0,1.346,0.0,2.121,0.0,0.183687166667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,391.708,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.8663,0.0,2.27674,-9999,-9999,-9999,-3.80295,1.0,-0.798915,-9999,-9999,-9999,0.565464,0.1875,-9999,0.573917,0.573917,0.613893,0.1875,0.1875,0.0,3.35998,3.33448,3.38138,3.58832,2.98867,2.70064,2.79451,3.00455,0.771343,0.6636,0.768764,0.771345,0.435602,0.454706,0.455076,0.480771,-9999,-9999
20040106,7.323,0.0,78.0258,2.743,0.0,340.85,0.0,0.46,0.0,101.274,0.0,6.708,0.0,3.566,0.0,0.310793333333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,392.416,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.4146,0.0,2.77409,-9999,-9999,-9999,-11.3818,1.0,-2.24175,-9999,-9999,-9999,0.603013,0.1875,-9999,0.578521,0.608828,0.608828,0.1875,0.1875,0.1875,3.76017,3.7398,3.78138,3.94062,3.30528,3.13097,3.20097,3.32408,0.80907,0.696057,0.806365,0.809072,0.106543,0.111445,0.11154,0.118415,-9999,-9999
20040107,6.108,0.0,78.8863,18.791,0.0,312.291,0.0,0.38,0.0,101.472,0.0,0.163,0.0,2.489,0.0,0.209284166667,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,391.813,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.162,0.0,3.24698,-9999,-9999,-9999,-10.1991,1.0,-2.00759,-9999,-9999,-9999,0.664005,0.1875,-9999,0.650108,0.668979,0.668979,0.0,0.1875,0.1875,3.57198,3.54908,3.59586,3.77583,3.08033,2.86913,2.93185,3.0981,0.791651,0.681071,0.789004,0.791653,0.702528,0.732159,0.73273,0.77117,-9999,-9999
20040108,4.988,0.0,79.8032,8.752,0.0,321.816,0.0,0.502,0.0,100.352,0.0,4.606,0.0,4.231,0.0,0.452262708333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,392.314,0.3125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.4162,0.25,3.10868,-9999,-9999,-9999,-29.9093,1.0,-5.88736,-9999,-9999,-9999,0.741491,0.104167,-9999,0.741491,0.749103,0.750744,0.104167,0.104167,0.104167,3.39988,3.37491,3.4219,3.62332,2.84849,2.62581,2.67844,2.86459,0.775056,0.666794,0.772465,0.775058,0.332668,0.347247,0.34753,0.367131,-9999,-9999
20040109,5.934,0.0,80.7766,21.775,0.0,304.414,0.0,0.594,0.0,99.91,0.0,7.424,0.0,3.025,0.0,0.281695,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,394.89,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,12.7563,0.1875,2.74922,-9999,-9999,-9999,-15.2383,1.0,-2.9995,-9999,-9999,-9999,0.79906,0.1875,-9999,0.774568,0.804875,0.804875,0.1875,0.1875,0.1875,3.54512,3.52186,3.56931,3.7523,2.92091,2.71699,2.80078,2.93853,0.789163,0.678931,0.786525,0.789165,0.807254,0.840643,0.841284,0.883791,-9999,-9999
20040110,5.735,0.0,81.8064,30.545,0.0,298.971,0.0,0.633,0.0,100.927,0.0,0.258,0.0,2.828,0.0,0.285108958333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,393.686,0.416667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,12.1912,0.270833,2.56772,-9999,-9999,-9999,-10.1331,1.0,-1.94497,-9999,-9999,-9999,0.819598,0.3125,-9999,0.808157,0.824572,0.824572,0.3125,0.3125,0.3125,3.51444,3.49081,3.53817,3.72515,2.87407,2.66029,2.71778,2.89153,0.78622,0.676399,0.783592,0.786222,1.1106,1.15447,1.1553,1.20861,-9999,-9999
