TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,-0.043,1.0,174.165,118.995,0.0,216.434,0.0,1.961,1.0,85.568,0.0,0.0,1.0,1.278,1.0,-9999,0.0,-9999,0.0,30.9,1.0,-9999,-9999,-9999,0.233,-9999,1.0,-9999,12.777,-9999,1.0,-9999,1.0,15.2022,0.0,16.4315,-9999,-9999,-9999,37.723,0.0,40.7452,-9999,-9999,-9999,-0.357504,0.0,-9999,-0.364236,-0.357504,-0.357504,0.0,0.0,0.0,0.0858171,0.085129,0.0942262,0.102492,0.446984,0.444341,0.449365,0.460364,0.0514592,0.0493383,0.0514591,0.051588,0.526144,0.526144,0.533632,0.582899,-9999,-9999
20010102,-0.493,1.0,174.789,121.485,0.0,207.315,0.0,2.164,1.0,86.242,0.0,0.0,1.0,1.298,1.0,-9999,0.0,-9999,0.0,31.1833333333,1.0,-9999,-9999,-9999,0.363,-9999,1.0,-9999,12.947,-9999,1.0,-9999,1.0,14.4177,0.0,15.6897,-9999,-9999,-9999,38.2966,0.0,41.6467,-9999,-9999,-9999,-0.421054,0.0,-9999,-0.423516,-0.423516,-0.418014,0.0,0.0,0.0,0.0826224,0.0819299,0.0910548,0.0995517,0.509866,0.502467,0.509495,0.519463,0.0476391,0.0456758,0.047639,0.0477584,0.529117,0.529116,0.536572,0.586861,-9999,-9999
20010103,-0.962,1.0,175.472,119.478,0.0,219.065,0.0,2.433,1.0,86.465,0.0,0.0,1.0,1.277,1.0,-9999,0.0,-9999,0.0,30.95,1.0,-9999,-9999,-9999,0.053,-9999,1.0,-9999,12.716,-9999,1.0,1.30789,0.0,14.7519,0.0,16.2636,-9999,-9999,-9999,27.3844,0.0,30.1701,-9999,-9999,-9999,-0.320778,0.0,-9999,-0.320778,-0.320778,-0.320778,0.0,0.0,0.0,0.0793696,0.0786732,0.0878174,0.0965367,0.403936,0.400714,0.415977,0.424878,0.0436922,0.0418915,0.0436921,0.0438015,0.524223,0.524223,0.531653,0.581058,-9999,-9999
20010104,-0.935,1.0,176.211,120.243,0.0,221.44,0.0,2.332,1.0,86.002,0.0,0.0,1.0,1.367,1.0,-9999,0.0,-9999,0.0,31.3917083333,1.0,-9999,-9999,-9999,0.12,-9999,1.0,-9999,12.742,-9999,1.0,2.01613,0.0,15.2022,0.0,17.0697,-9999,-9999,-9999,37.723,0.0,42.3289,-9999,-9999,-9999,-0.357504,0.0,-9999,-0.364236,-0.357504,-0.357504,0.0,0.0,0.0,0.0801392,0.0794552,0.0884692,0.0969957,0.441346,0.438509,0.443969,0.454607,0.0459609,0.0440667,0.0459608,0.046076,0.526881,0.526881,0.534311,0.584333,-9999,-9999
20010105,-0.573,1.0,177.009,122.186,0.0,218.057,0.0,2.426,1.0,85.664,0.0,0.0,1.0,1.328,1.0,-9999,0.0,-9999,0.0,31.1,1.0,-9999,-9999,-9999,0.081,-9999,1.0,-9999,12.674,-9999,1.0,0.415738,0.0,14.4177,0.0,16.4824,-9999,-9999,-9999,38.2966,0.0,43.7525,-9999,-9999,-9999,-0.421054,0.0,-9999,-0.423516,-0.423516,-0.418014,0.0,0.0,0.0,0.0827536,0.0820741,0.0910557,0.0993821,0.509914,0.502846,0.509418,0.519293,0.0492153,0.0471869,0.0492151,0.0493385,0.521777,0.521777,0.529149,0.578592,-9999,-9999
20010106,0.425,1.0,177.864,120.948,0.0,224.123,0.0,2.7,1.0,85.158,0.0,0.0,1.0,1.331,1.0,-9999,0.0,-9999,0.0,31.225,1.0,-9999,-9999,-9999,0.568,-9999,1.0,-9999,12.918,-9999,1.0,1.30789,0.0,14.7519,0.0,16.7596,-9999,-9999,-9999,27.3844,0.0,31.1113,-9999,-9999,-9999,-0.320778,0.0,-9999,-0.320778,-0.320778,-0.320778,0.0,0.0,0.0,0.0897946,0.0891256,0.0979343,0.105862,0.414074,0.411098,0.425043,0.433012,0.0579438,0.0555557,0.0579437,0.0580888,0.527577,0.527577,0.535031,0.58496,-9999,-9999
20010107,0.381,1.0,178.776,127.128,0.0,197.641,0.0,3.205,1.0,85.323,0.0,0.0,1.0,1.328,1.0,-9999,-9999,-9999,-9999,32.6416666667,1.0,-9999,-9999,-9999,0.856,-9999,1.0,-9999,13.243,-9999,1.0,2.01613,0.0,15.2022,0.0,17.1453,-9999,-9999,-9999,37.723,0.0,42.5446,-9999,-9999,-9999,-0.357504,0.0,-9999,-0.364236,-0.357504,-0.357504,0.0,0.0,0.0,0.0889467,0.0882658,0.0973078,0.105317,0.450035,0.447358,0.452502,0.463366,0.0555563,0.0532666,0.0555562,0.0556954,0.533491,0.533491,0.5409,0.592754,-9999,-9999
20010108,-2.151,1.0,179.744,121.243,0.0,209.325,0.0,2.603,1.0,85.198,0.0,0.0,1.0,1.347,1.0,-9999,0.0,-9999,0.0,29.8,1.0,-9999,-9999,-9999,-0.227,-9999,1.0,-9999,12.62,-9999,1.0,0.415738,0.0,14.4177,0.0,16.5121,-9999,-9999,-9999,38.2966,0.0,43.8598,-9999,-9999,-9999,-0.421054,0.0,-9999,-0.423516,-0.423516,-0.418014,0.0,0.0,0.0,0.0713281,0.0706267,0.0797694,0.0889858,0.498754,0.49055,0.498901,0.508897,0.0346418,0.0332141,0.0346418,0.0347286,0.51555,0.51555,0.522979,0.570313,-9999,-9999
20010109,-0.75,1.0,180.768,43.72,0.0,267.766,0.0,2.606,1.0,84.807,0.0,0.0,1.0,1.043,1.0,-9999,0.0,-9999,0.0,18.2166666667,1.0,-9999,-9999,-9999,-0.467,-9999,1.0,-9999,12.355,-9999,1.0,1.30789,0.0,14.7519,0.0,16.9992,-9999,-9999,-9999,27.3844,0.0,31.556,-9999,-9999,-9999,-0.320778,0.0,-9999,-0.320778,-0.320778,-0.320778,0.0,0.0,0.0,0.0801991,0.0794884,0.0887926,0.0976273,0.404843,0.401556,0.417051,0.425997,0.0423482,0.0406029,0.042348,0.0424542,0.394711,0.394711,0.401504,0.426793,-9999,-9999
20010110,1.735,1.0,181.849,85.168,0.0,274.086,0.0,1.389,1.0,84.901,0.0,0.0,1.0,1.503,1.0,-9999,0.0,-9999,0.0,29.9166666667,1.0,-9999,-9999,-9999,1.955,-9999,1.0,-9999,13.41,-9999,1.0,2.01613,0.0,15.2022,0.0,17.3599,-9999,-9999,-9999,37.723,0.0,43.0771,-9999,-9999,-9999,-0.357504,0.0,-9999,-0.364236,-0.357504,-0.357504,0.0,0.0,0.0,0.0977894,0.0971029,0.105783,0.113836,0.458811,0.455831,0.461339,0.47154,0.0632433,0.0606368,0.0632432,0.0634015,0.506735,0.506734,0.514067,0.560455,-9999,-9999
