TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000101,5.058,0.0,172.343,103.33,0.0,295.435,0.0,0.803,0.0,99.659,0.0,1.073,0.0,1.033,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.3028,0.0,14.0894,-9999,-9999,-9999,19.8456,0.0,15.2771,-9999,-9999,-9999,0.168175,0.0,-9999,0.106005,0.151805,0.257424,0.0,0.0,0.0,1.98777,1.68663,1.78976,1.85231,1.75387,1.48835,1.65227,1.79669,2.56929,2.16899,2.48781,2.67608,1.86394,1.84622,1.96241,2.09182,-9999,-9999
20000102,4.311,0.0,172.968,120.125,0.0,272.751,0.0,1.355,0.0,100.435,0.0,0.041,0.0,1.093,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.7275,0.0,20.2355,-9999,-9999,-9999,15.0236,0.0,11.3745,-9999,-9999,-9999,0.365853,0.0,-9999,0.311998,0.366878,0.49159,0.0,0.0,0.0,1.92327,1.59188,1.73416,1.80333,1.41441,1.17685,1.35865,1.46213,2.51572,2.10514,2.41113,2.63267,1.9573,1.93959,2.05901,2.19911,-9999,-9999
20000103,6.296,0.0,173.651,116.812,0.0,284.339,0.0,2.715,0.0,100.976,0.0,0.0,0.0,0.823,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.3617,0.0,18.9021,-9999,-9999,-9999,16.3308,0.0,12.1713,-9999,-9999,-9999,0.410145,0.0,-9999,0.333934,0.389585,0.410145,0.0,0.0,0.0,2.09528,1.86058,1.88814,1.93576,1.63391,1.4662,1.52274,1.64944,2.65491,2.27429,2.63144,2.76145,1.94406,1.92626,2.04657,2.18365,-9999,-9999
20000104,6.008,0.0,174.391,37.592,0.0,309.736,0.0,1.482,0.0,100.996,0.0,0.53,0.0,0.68,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.3028,0.0,13.4714,-9999,-9999,-9999,19.8456,0.0,14.6069,-9999,-9999,-9999,0.168175,0.0,-9999,0.106005,0.151805,0.257424,0.0,0.0,0.0,2.06897,1.79873,1.86616,1.91511,1.83507,1.56882,1.72031,1.90328,2.63916,2.25012,2.59902,2.74725,1.37255,1.35251,1.4364,1.52094,-9999,-9999
20000105,6.726,0.0,175.19,123.604,0.0,264.92,0.0,4.161,0.0,100.458,0.0,0.0,0.0,1.685,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.7275,0.0,19.5968,-9999,-9999,-9999,15.0236,0.0,11.0154,-9999,-9999,-9999,0.365853,0.0,-9999,0.311998,0.366878,0.49159,0.0,0.0,0.0,2.13206,1.90398,1.91952,1.97992,1.62319,1.48361,1.55264,1.64494,2.68622,2.31093,2.68026,2.80358,1.98231,1.96445,2.08483,2.22742,-9999,-9999
20000106,6.506,0.0,176.045,106.851,0.0,285.082,0.0,4.631,0.0,100.753,0.0,0.0,0.0,1.118,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.3617,0.0,18.6983,-9999,-9999,-9999,16.3308,0.0,12.0401,-9999,-9999,-9999,0.410145,0.0,-9999,0.333934,0.389585,0.410145,0.0,0.0,0.0,2.11363,1.88754,1.90369,1.966,1.65226,1.48719,1.55297,1.6766,2.66989,2.29238,2.65522,2.77658,1.89925,1.88119,1.9997,2.13123,-9999,-9999
20000107,6.243,0.0,176.958,102.661,0.0,281.067,0.0,3.51,0.0,100.584,0.0,0.0,0.0,0.814,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.3028,0.0,13.5959,-9999,-9999,-9999,19.8456,0.0,14.742,-9999,-9999,-9999,0.168175,0.0,-9999,0.106005,0.151805,0.257424,0.0,0.0,0.0,2.09058,1.85191,1.88423,1.92886,1.85668,1.58621,1.77017,1.95031,2.65148,2.26978,2.62694,2.7588,1.91182,1.89317,2.01274,2.14421,-9999,-9999
20000108,6.281,0.0,177.927,121.607,0.0,279.244,0.0,2.633,0.0,100.461,0.0,0.0,0.0,0.695,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.7275,0.0,20.2014,-9999,-9999,-9999,15.0236,0.0,11.3553,-9999,-9999,-9999,0.365853,0.0,-9999,0.311998,0.366878,0.49159,0.0,0.0,0.0,2.09403,1.85911,1.88706,1.93422,1.58516,1.42697,1.52018,1.61315,2.65378,2.27302,2.62976,2.7605,1.97671,1.95869,2.08042,2.22056,-9999,-9999
20000109,5.916,0.0,178.953,74.499,0.0,306.148,0.0,1.636,0.0,100.431,0.0,0.0,0.0,0.384,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.3617,0.0,19.5211,-9999,-9999,-9999,16.3308,0.0,12.57,-9999,-9999,-9999,0.410145,0.0,-9999,0.333934,0.389585,0.410145,0.0,0.0,0.0,2.06212,1.80169,1.85973,1.90819,1.60075,1.40568,1.46608,1.60075,2.62983,2.24223,2.5913,2.73843,1.69242,1.67363,1.78879,1.89183,-9999,-9999
20000110,7.938,0.0,180.033,79.215,0.0,324.489,0.0,0.93,0.0,100.209,0.0,0.466,0.0,0.727,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.3028,0.0,14.46,-9999,-9999,-9999,19.8456,0.0,15.6788,-9999,-9999,-9999,0.168175,0.0,-9999,0.106005,0.151805,0.257424,0.0,0.0,0.0,2.23623,2.00812,2.03597,2.06749,2.00234,1.71056,1.89371,2.11976,2.77571,2.43028,2.77571,2.92085,1.75717,1.73821,1.86125,1.96572,-9999,-9999
