TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20060101,25.6,0.0,469.578,247.168,0.0,385.636,0.0,5.55,0.0,100.334,0.0,6.442,0.0,0.795,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,6.60656,0.0,162.02,0.0,185.099,-9999,-9999,-9999,9.20966,0.0,10.5215,-9999,-9999,-9999,-1.85251,0.0,-9999,-2.94423,-1.86393,-1.85602,0.0,0.0,0.0,4.62781,3.08174,4.62781,4.78835,6.66524,6.46061,6.61508,6.64437,3.44143,2.70884,2.93568,3.44143,6.23143,6.22563,6.23143,6.54197,-9999,-9999
20060102,24.666,0.0,469.617,210.104,0.0,382.691,0.0,3.738,0.0,100.288,0.0,7.944,0.0,1.084,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,5.4815,0.0,160.801,0.0,186.399,-9999,-9999,-9999,11.1553,0.0,12.9311,-9999,-9999,-9999,-2.27646,0.0,-9999,-3.07273,-2.27646,-2.03296,0.0,0.0,0.0,4.46252,2.94581,4.46252,4.68446,6.74488,6.25437,6.68066,6.74488,3.41146,2.68525,2.91012,3.41146,6.18349,6.18349,6.22178,6.4784,-9999,-9999
20060103,24.928,0.0,469.652,185.912,0.0,381.966,0.0,4.393,0.0,100.212,0.0,9.47,0.0,0.917,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,6.92803,0.0,158.578,0.0,186.675,-9999,-9999,-9999,9.71678,0.0,11.4384,-9999,-9999,-9999,-2.1046,0.0,-9999,-3.06773,-2.1046,-2.02016,0.0,0.0,0.0,4.50669,2.9807,4.50669,4.71423,6.7581,6.52937,6.72791,6.7581,3.42066,2.69249,2.91796,3.42066,5.81693,5.81693,5.87431,6.12625,-9999,-9999
20060104,25.739,0.0,469.683,259.654,0.0,385.09,0.0,5.302,0.0,100.15,0.0,6.849,0.0,0.755,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,6.60656,0.0,162.02,0.0,194.228,-9999,-9999,-9999,9.20966,0.0,11.0404,-9999,-9999,-9999,-1.85251,0.0,-9999,-2.94423,-1.86393,-1.85602,0.0,0.0,0.0,4.65086,3.09957,4.65086,4.80435,6.6793,6.48454,6.63813,6.66037,3.44649,2.71282,2.94,3.44649,6.64477,6.64283,6.64477,6.90295,-9999,-9999
20060105,27.535,0.0,469.711,282.101,0.0,390.171,0.0,9.29,0.0,100.05,0.0,0.406,0.0,1.034,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,5.4815,0.0,160.801,0.0,195.354,-9999,-9999,-9999,11.1553,0.0,13.5524,-9999,-9999,-9999,-2.27646,0.0,-9999,-3.07273,-2.27646,-2.03296,0.0,0.0,0.0,4.96874,3.36133,4.96727,4.98704,7.02,6.66989,7.00011,7.24372,3.50408,2.75815,2.98913,3.50408,5.75731,5.69492,5.75731,6.15107,-9999,-9999
20060106,25.093,0.0,469.735,207.021,0.0,385.242,0.0,4.09,0.0,100.091,0.0,5.968,0.0,2.567,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,6.92803,0.0,158.578,0.0,194.718,-9999,-9999,-9999,9.71678,0.0,11.9313,-9999,-9999,-9999,-2.1046,0.0,-9999,-3.06773,-2.1046,-2.02016,0.0,0.0,0.0,4.5366,3.00577,4.5366,4.73237,6.77357,6.55445,6.74098,6.77357,3.42569,2.69645,2.92225,3.42569,6.16034,6.16034,6.19902,6.45678,-9999,-9999
20060107,25.456,0.0,469.754,176.899,0.0,391.751,0.0,5.034,0.0,100.225,0.0,2.033,0.0,2.282,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.60656,0.0,162.02,0.0,201.078,-9999,-9999,-9999,9.20966,0.0,11.4298,-9999,-9999,-9999,-1.85251,0.0,-9999,-2.94423,-1.86393,-1.85602,0.0,0.0,0.0,4.6001,3.05738,4.6001,4.77311,6.65256,6.43088,6.58738,6.62913,3.43768,2.70589,2.93248,3.43768,5.85028,5.85028,5.91498,6.1725,-9999,-9999
20060108,27.271,0.0,469.769,298.361,0.0,388.445,0.0,7.433,0.0,100.229,0.0,1.723,0.0,1.096,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,5.4815,0.0,160.801,0.0,201.309,-9999,-9999,-9999,11.1553,0.0,13.9655,-9999,-9999,-9999,-2.27646,0.0,-9999,-3.07273,-2.27646,-2.03296,0.0,0.0,0.0,4.91806,3.31671,4.91806,4.96379,6.99674,6.62527,6.97218,7.18934,3.49714,2.75269,2.9832,3.49714,6.83969,6.7939,6.83969,7.07998,-9999,-9999
20060109,28.154,0.0,469.779,299.804,0.0,391.357,0.0,9.017,0.0,100.07,0.0,2.338,0.0,2.199,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,6.92803,0.0,158.578,0.0,200.141,-9999,-9999,-9999,9.71678,0.0,12.2635,-9999,-9999,-9999,-2.1046,0.0,-9999,-3.06773,-2.1046,-2.02016,0.0,0.0,0.0,5.07479,3.44622,5.04786,5.07479,7.06801,6.99232,7.06801,7.18291,3.52524,2.77481,3.00717,3.52524,5.85516,5.79202,5.85516,6.26702,-9999,-9999
20060110,27.88,0.0,469.784,234.81,0.0,394.206,0.0,7.053,0.0,99.943,0.0,6.594,0.0,2.448,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,6.60656,0.0,162.02,0.0,205.9,-9999,-9999,-9999,9.20966,0.0,11.7039,-9999,-9999,-9999,-1.85251,0.0,-9999,-2.94423,-1.86393,-1.85602,0.0,0.0,0.0,5.02261,3.40032,5.02233,5.02375,6.88768,6.80179,6.88768,6.90095,3.51798,2.76909,3.00098,3.51798,6.73148,6.73148,6.75096,7.019,-9999,-9999
