TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20100101,-2.147,0.0,76.9019,8.89,0.0,304.807,0.0,0.792,0.0,101.066,0.0,1.694,0.0,2.374,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,2.388,2.647,3.334,1.0,1.0,1.0,-9999,1.0,42.85,0.0,-9999,-9999,-9999,-9999,88.8452,0.0,-9999,-9999,-9999,-9999,-3.37848,0.0,-9999,-3.76419,-3.37848,-3.05616,0.0,0.0,0.0,4.67473,4.36445,4.47513,4.7217,7.90434,7.43579,7.7306,8.46088,3.02037,2.60068,2.87325,3.4093,0.637887,0.570262,0.647539,0.728468,-9999,-9999
20100102,-2.4,0.0,77.4838,10.992,0.0,294.727,0.0,0.591,0.0,102.504,0.0,3.904,0.0,2.185,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,2.495,2.739,3.41,1.0,1.0,1.0,-9999,1.0,38.1893,0.0,-9999,-9999,-9999,-9999,82.1282,0.0,-9999,-9999,-9999,-9999,-4.58667,0.0,-9999,-5.0383,-4.59548,-4.35301,0.0,0.0,0.0,4.62983,4.31385,4.42229,4.6772,9.03043,8.2492,8.99616,9.62077,2.97528,2.55921,2.82807,3.35562,0.78197,0.699846,0.794081,0.89772,-9999,-9999
20100103,-5.435,0.0,78.1228,23.15,0.0,270.893,0.0,0.437,0.0,103.422,0.0,0.57,0.0,0.959,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,2.445,2.698,3.377,1.0,1.0,1.0,-9999,1.0,35.7104,0.0,-9999,-9999,-9999,-9999,81.4728,0.0,-9999,-9999,-9999,-9999,-3.63241,0.0,-9999,-4.12156,-3.72576,-3.55284,0.0,0.0,0.0,4.08586,3.70693,3.82888,4.13765,7.36863,7.23948,7.64638,8.17191,2.44349,2.07248,2.2973,2.72508,1.5573,1.4035,1.5849,1.84484,-9999,-9999
20100104,-7.536,0.0,78.8179,24.462,0.0,259.162,0.0,0.414,0.0,103.183,0.0,0.14,0.0,1.105,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,2.187,2.476,3.201,1.0,1.0,1.0,-9999,1.0,42.85,0.0,-9999,-9999,-9999,-9999,88.8452,0.0,-9999,-9999,-9999,-9999,-3.37848,0.0,-9999,-3.76419,-3.37848,-3.05616,0.0,0.0,0.0,3.7041,3.29246,3.42049,3.75804,6.79218,6.34862,6.70749,7.41566,2.09674,1.75961,1.95505,2.3186,1.63932,1.4781,1.66862,1.94127,-9999,-9999
20100105,-6.845,0.0,79.5693,35.672,0.0,238.355,0.0,0.584,0.0,102.441,0.0,0.0,0.0,1.662,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,1.868,2.196,2.97,1.0,1.0,1.0,-9999,1.0,38.1893,0.0,-9999,-9999,-9999,-9999,82.1282,0.0,-9999,-9999,-9999,-9999,-4.58667,0.0,-9999,-5.0383,-4.59548,-4.35301,0.0,0.0,0.0,3.82994,3.42755,3.55402,3.8833,8.11082,7.37605,8.14457,8.75955,2.20764,1.85909,2.06402,2.448,2.27499,2.06319,2.31986,2.7618,-9999,-9999
20100106,-6.934,0.0,80.3775,17.494,0.0,277.859,0.0,0.426,0.0,101.88,0.0,0.443,0.0,1.064,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,1.491,1.852,2.68,1.0,1.0,1.0,-9999,1.0,35.7104,0.0,-9999,-9999,-9999,-9999,81.4728,0.0,-9999,-9999,-9999,-9999,-3.63241,0.0,-9999,-4.12156,-3.72576,-3.55284,0.0,0.0,0.0,3.81417,3.40968,3.53662,3.86768,7.06033,6.93977,7.36401,7.88232,2.19161,1.84432,2.04794,2.42889,1.20915,1.08612,1.22929,1.41262,-9999,-9999
20100107,-7.38,0.0,81.2424,28.865,0.0,251.939,0.0,0.567,0.0,102.503,0.0,0.012,0.0,1.463,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.478,1.842,2.656,1.0,1.0,1.0,-9999,1.0,42.85,0.0,-9999,-9999,-9999,-9999,88.8452,0.0,-9999,-9999,-9999,-9999,-3.37848,0.0,-9999,-3.76419,-3.37848,-3.05616,0.0,0.0,0.0,3.73248,3.32242,3.45024,3.78633,6.82322,6.37858,6.73644,7.44628,2.12067,1.78091,1.97842,2.34634,1.90101,1.71764,1.93626,2.26967,-9999,-9999
20100108,-6.694,0.0,82.1638,20.435,0.0,273.096,0.0,0.641,0.0,103.411,0.0,1.466,0.0,2.469,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,1.385,1.746,2.573,1.0,1.0,1.0,-9999,1.0,38.1893,0.0,-9999,-9999,-9999,-9999,82.1282,0.0,-9999,-9999,-9999,-9999,-4.58667,0.0,-9999,-5.0383,-4.59548,-4.35301,0.0,0.0,0.0,3.85555,3.4622,3.58626,3.90819,8.14699,7.41034,8.1741,8.78681,2.24631,1.89667,2.10448,2.49612,1.38791,1.24933,1.41197,1.63841,-9999,-9999
20100109,-3.074,0.0,83.1419,3.044,0.0,303.416,0.0,0.833,0.0,102.866,0.0,11.579,0.0,4.827,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,1.4,1.739,2.55,1.0,1.0,1.0,-9999,1.0,35.7104,0.0,-9999,-9999,-9999,-9999,81.4728,0.0,-9999,-9999,-9999,-9999,-3.63241,0.0,-9999,-4.12156,-3.72576,-3.55284,0.0,0.0,0.0,4.51014,4.17848,4.28843,4.55864,7.85795,7.73324,8.09308,8.62274,2.8539,2.44732,2.70625,3.21088,0.2251,0.200438,0.228219,0.252313,-9999,-9999
20100110,-3.202,0.0,84.1764,2.369,0.0,304.947,0.0,0.667,0.0,102.779,0.0,7.83,0.0,3.152,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,1.581,1.891,2.672,1.0,1.0,1.0,-9999,1.0,42.85,0.0,-9999,-9999,-9999,-9999,88.8452,0.0,-9999,-9999,-9999,-9999,-3.37848,0.0,-9999,-3.76419,-3.37848,-3.05616,0.0,0.0,0.0,4.48727,4.15295,4.26193,4.53595,7.68476,7.21802,7.52326,8.25924,2.83153,2.42684,2.68392,3.18435,0.175465,0.15621,0.177884,0.196495,-9999,-9999
