TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20080101,-16.584,0.0,0.0,0.0,1.0,211.725,0.0,0.199,0.0,94.599,0.0,6.4,1.0,3.891,0.0,-9999,0.0,-9999,0.0,0.0,0.979166666667,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.271545,0.0,-9999,-9999,-9999,-9999,-8.21643,0.0,-9999,-9999,-9999,-9999,0.104502,0.0,-9999,0.0940256,0.104502,0.115093,0.0,0.0,0.0,0.125288,0.124896,0.125288,0.12558,0.0210052,0.00980273,0.0178558,0.0267408,0.0346809,0.0126117,0.0195783,0.0346809,0.0,0.0,0.0,0.0,-9999,-9999
20080102,-18.792,0.0,0.0,0.0,1.0,171.572,0.0,0.344,0.0,95.198,0.0,0.0,1.0,3.576,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-1.03619,0.0,-9999,-9999,-9999,-9999,-12.7081,0.0,-9999,-9999,-9999,-9999,0.0637197,0.0,-9999,0.0590498,0.0637197,0.0686882,0.0,0.0,0.0,0.0927062,0.0924155,0.0927062,0.0949726,0.0306785,0.0213553,0.0284418,0.0322252,0.0253759,0.00722049,0.0112766,0.0253759,0.0,0.0,0.0,0.0,-9999,-9999
20080103,-22.017,0.0,0.0,0.0,1.0,181.827,0.0,0.481,0.0,97.491,0.0,0.0,1.0,3.476,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.480634,0.0,-9999,-9999,-9999,-9999,-12.2928,0.0,-9999,-9999,-9999,-9999,0.0864913,0.0,-9999,0.0773689,0.0815287,0.0893643,0.0,0.0,0.0,0.0526563,0.0524913,0.0526563,0.0564068,-0.0310473,-0.0430719,-0.0310473,-0.0247125,0.0140834,0.00242328,0.00366987,0.0140834,0.0,0.0,0.0,0.0,-9999,-9999
20080104,-16.26,0.0,0.0,0.0,1.0,229.172,0.0,0.387,0.0,96.801,0.0,0.0,1.0,3.132,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.271545,0.0,-9999,-9999,-9999,-9999,-8.21643,0.0,-9999,-9999,-9999,-9999,0.104502,0.0,-9999,0.0940256,0.104502,0.115093,0.0,0.0,0.0,0.127727,0.127327,0.127727,0.128232,0.0236088,0.0122341,0.0191718,0.0293332,0.0353203,0.0120478,0.0189712,0.0353203,0.0,0.0,0.0,0.0,-9999,-9999
20080105,-13.338,0.0,0.0,0.0,1.0,216.637,0.0,0.601,0.0,96.101,0.0,0.0,1.0,1.838,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-1.03619,0.0,-9999,-9999,-9999,-9999,-12.7081,0.0,-9999,-9999,-9999,-9999,0.0637197,0.0,-9999,0.0590498,0.0637197,0.0686882,0.0,0.0,0.0,0.18002,0.175623,0.176964,0.18002,0.113245,0.105614,0.113245,0.117361,0.0504776,0.0252464,0.03735,0.0517309,0.0,0.0,0.0,0.0,-9999,-9999
20080106,-14.23,0.0,0.0,0.0,1.0,211.205,0.0,0.389,0.0,96.33,0.0,0.0,1.0,2.552,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.480634,0.0,-9999,-9999,-9999,-9999,-12.2928,0.0,-9999,-9999,-9999,-9999,0.0864913,0.0,-9999,0.0773689,0.0815287,0.0893643,0.0,0.0,0.0,0.163435,0.160708,0.161544,0.163435,0.075053,0.0620586,0.075053,0.0855535,0.0456545,0.0206877,0.0310792,0.0459285,0.0,0.0,0.0,0.0,-9999,-9999
20080107,-12.366,0.0,0.0,0.0,1.0,232.162,0.0,0.461,0.0,96.494,0.0,0.0,1.0,4.466,0.0,-9999,-9999,-9999,-9999,0.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.271545,0.0,-9999,-9999,-9999,-9999,-8.21643,0.0,-9999,-9999,-9999,-9999,0.104502,0.0,-9999,0.0940256,0.104502,0.115093,0.0,0.0,0.0,0.197829,0.191696,0.193565,0.197829,0.0890635,0.0817618,0.0871946,0.0916507,0.0556474,0.0298161,0.0437182,0.05728,0.0,0.0,0.0,0.0,-9999,-9999
20080108,-11.386,0.0,0.0,0.0,1.0,242.454,0.0,0.257,0.0,96.655,0.0,0.0,1.0,4.278,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-1.03619,0.0,-9999,-9999,-9999,-9999,-12.7081,0.0,-9999,-9999,-9999,-9999,0.0637197,0.0,-9999,0.0590498,0.0637197,0.0686882,0.0,0.0,0.0,0.217276,0.208979,0.211499,0.217276,0.147779,0.140896,0.147779,0.153133,0.0613346,0.0359614,0.0520091,0.0629293,0.0,0.0,0.0,0.0,-9999,-9999
20080109,-11.059,0.0,0.0,0.0,1.0,246.029,0.0,0.383,0.0,96.939,0.0,0.0,1.0,3.83,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.480634,0.0,-9999,-9999,-9999,-9999,-12.2928,0.0,-9999,-9999,-9999,-9999,0.0864913,0.0,-9999,0.0773689,0.0815287,0.0893643,0.0,0.0,0.0,0.224312,0.215129,0.217914,0.224312,0.131422,0.119622,0.134948,0.140947,0.0634084,0.0387143,0.0556054,0.0647927,0.0,0.0,0.0,0.0,-9999,-9999
20080110,-15.047,0.0,0.0,0.0,1.0,189.405,0.0,0.614,0.0,97.058,0.0,0.0,1.0,1.704,0.0,-9999,0.0,-9999,0.0,0.0,1.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.271545,0.0,-9999,-9999,-9999,-9999,-8.21643,0.0,-9999,-9999,-9999,-9999,0.104502,0.0,-9999,0.0940256,0.104502,0.115093,0.0,0.0,0.0,0.148058,0.146907,0.147267,0.148058,0.0427652,0.0325014,0.0376688,0.0474547,0.0411788,0.0163688,0.0251561,0.0411788,0.0,0.0,0.0,0.0,-9999,-9999
