TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20030101,-23.84,1.0,0.0,0.618,1.0,169.46,0.0,0.218,1.0,99.528,0.0,0.0,1.0,0.218,1.0,-9999,0.0,-0.376291666667,1.0,1.18789583333,1.0,-9999,-9999,-17.835,1.0,-4.15371,1.0,-3.33582,0.0,-1.93805,-9999,-9999,1.10249,-23.6885,0.0,-12.1414,-9999,-9999,-9999,-0.336868,0.0,-9999,-0.421884,-0.338461,-0.337161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336868,0.336868,0.338461,0.419828,0.0703752,0.0140238,0.101118,0.10682,0.0,0.0,0.0,0.0,-9999,-9999
20030102,-28.123,1.0,0.0,0.489,1.0,152.008,0.0,0.176,1.0,99.529,0.0,0.0,1.0,0.211,1.0,-9999,0.0,-0.852708333333,1.0,0.940604166667,1.0,-9999,-9999,-19.255,1.0,-5.1336,1.0,17.601,0.916667,9.49325,-9999,-9999,1.74026,-22.1708,0.0,-10.4021,-9999,-9999,-9999,-0.340898,0.0,-9999,-0.40349,-0.330927,-0.325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340899,0.325802,0.330927,0.39807,0.03591,0.0085502,0.0585033,0.0635513,0.0,0.0,0.0,0.0,-9999,-9999
20030103,-31.983,1.0,0.0,0.295,1.0,151.254,0.0,0.157,1.0,99.76,0.0,0.0,1.0,0.421,1.0,-9999,0.0,-1.20972916667,1.0,0.558583333333,1.0,-9999,-9999,-21.44,1.0,-6.94773,1.0,13.111,1.0,6.62507,-9999,-9999,1.7198,-28.3949,0.0,-12.5365,-9999,-9999,-9999,-0.353529,0.0,-9999,-0.412844,-0.336443,-0.312372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353529,0.312372,0.336443,0.410294,0.0129963,0.00423549,0.0265436,0.0302274,0.0,0.0,0.0,0.0,-9999,-9999
20030104,-25.09,1.0,0.0,0.491,1.0,216.039,0.0,0.228,1.0,98.809,0.0,0.0,1.0,0.828,1.0,-9999,0.0,-0.364916666667,1.0,0.943354166667,1.0,-9999,-9999,-18.834,1.0,-2.71298,1.0,4.65245,1.0,1.95964,-9999,-9999,1.26952,-23.6885,0.0,-8.46645,-9999,-9999,-9999,-0.336868,0.0,-9999,-0.421884,-0.338461,-0.337161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336868,0.336868,0.338461,0.419828,0.0567318,0.0122491,0.0864716,0.0924047,0.0,0.0,0.0,0.0,-9999,-9999
20030105,-27.75,1.0,0.0,0.63,1.0,169.491,0.0,0.215,1.0,99.153,0.0,0.0,1.0,0.385,1.0,-9999,0.0,-0.7986875,1.0,1.21116666667,1.0,-9999,-9999,-17.927,1.0,-2.4836,1.0,3.65239,1.0,1.28916,-9999,-9999,1.19307,-22.1708,0.0,-6.411,-9999,-9999,-9999,-0.340898,0.0,-9999,-0.40349,-0.330927,-0.325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340899,0.325802,0.330927,0.39807,0.0374071,0.00897958,0.0614558,0.0667659,0.0,0.0,0.0,0.0,-9999,-9999
20030106,-39.102,1.0,0.0,0.592,1.0,104.474,0.0,0.092,1.0,99.916,0.0,0.0,1.0,1.217,1.0,-9999,0.0,-9.18535416667,1.0,1.13914583333,1.0,-9999,-9999,-21.268,1.0,-6.05523,1.0,-2.44696,1.0,-0.696697,-9999,-9999,1.2189,-28.3949,0.0,-6.27302,-9999,-9999,-9999,-0.353529,0.0,-9999,-0.412844,-0.336443,-0.312372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353529,0.312372,0.336443,0.410294,8.91362e-05,0.000137563,0.000558339,0.000806204,0.0,0.0,0.0,0.0,-9999,-9999
20030107,-38.532,1.0,0.0,0.715,1.0,108.156,0.0,0.085,1.0,101.443,0.0,0.0,1.0,2.658,1.0,-9999,-9999,-17.9295833333,1.0,1.375875,1.0,-9999,-9999,-22.95,1.0,-6.2136,1.0,-1.13155,1.0,-0.258146,-9999,-9999,1.1773,-23.6885,0.0,-3.85487,-9999,-9999,-9999,-0.336868,0.0,-9999,-0.421884,-0.338461,-0.337161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336868,0.336868,0.338461,0.419828,0.000216733,0.000251173,0.00110518,0.00152489,0.0,0.0,0.0,0.0,-9999,-9999
20030108,-33.572,1.0,0.0,0.636,1.0,144.719,0.0,0.129,1.0,102.789,0.0,0.0,1.0,2.556,1.0,-9999,0.0,-10.382375,1.0,1.13120833333,1.0,-9999,-9999,-22.195,1.0,-5.14052,1.0,3.25029,1.0,0.552373,-9999,-9999,1.31969,-22.1708,0.0,-2.31779,-9999,-9999,-9999,-0.340898,0.0,-9999,-0.40349,-0.330927,-0.325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340899,0.325802,0.330927,0.39807,0.00882423,0.00297252,0.0182875,0.021014,0.0,0.0,0.0,0.0,-9999,-9999
20030109,-24.123,1.0,0.0,0.461,1.0,214.143,0.0,0.183,1.0,101.97,0.0,0.0,1.0,7.705,1.0,-9999,0.0,-6.52866666667,1.0,0.820833333333,1.0,-9999,-9999,-19.191,1.0,-3.29385,1.0,-0.347773,1.0,-0.0361731,-9999,-9999,1.29575,-28.3949,0.0,-2.68621,-9999,-9999,-9999,-0.353529,0.0,-9999,-0.412844,-0.336443,-0.312372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353529,0.312372,0.336443,0.410294,0.0665349,0.0136034,0.0974686,0.103323,0.0,0.0,0.0,0.0,-9999,-9999
20030110,-20.942,1.0,0.0,0.753,1.0,219.084,0.0,0.238,1.0,101.173,0.0,0.0,1.0,3.919,1.0,-9999,0.0,-9.35416666667,1.0,1.44833333333,1.0,-9999,-9999,-18.25,1.0,-2.04077,1.0,-8.92697,1.0,-0.770101,-9999,-9999,1.3768,-23.6885,0.0,-1.8206,-9999,-9999,-9999,-0.336868,0.0,-9999,-0.421884,-0.338461,-0.337161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336868,0.336868,0.338461,0.419828,0.103738,0.0181649,0.135723,0.14065,0.0,0.0,0.0,0.0,-9999,-9999
