TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000101,-3.826,1.0,117.174,20.029,1.0,254.11,0.0,0.481,1.0,95.541,1.0,0.0,1.0,2.238,1.0,-9999,0.0,-9999,0.0,44.186,1.0,-9999,0.0,-9999,0.0,376.643,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,127.703,-9999,-9999,-9999,31.8277,0.0,70.6988,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,2.12412,2.05559,2.12412,2.29141,1.66757,1.53444,1.63892,1.71379,1.77165,1.82829,1.97253,1.98515,0.281274,0.281274,0.287146,0.289318,-9999,-9999
20000102,-4.679,1.0,117.793,22.154,1.0,288.434,0.0,0.174,1.0,95.179,1.0,13.21,1.0,3.087,1.0,-9999,0.0,-9999,0.0,49.041875,1.0,-9999,0.0,-9999,0.0,374.898,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,121.327,-9999,-9999,-9999,7.86438,0.0,17.402,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,2.04268,1.9875,2.0484,2.21061,1.24646,1.58937,1.69305,1.7592,1.72926,1.78454,1.92534,1.93766,0.301545,0.301545,0.307852,0.309701,-9999,-9999
20000103,-5.754,1.0,118.469,46.779,1.0,248.807,0.0,0.417,1.0,95.896,1.0,0.312,1.0,2.502,1.0,-9999,0.0,-9999,0.0,94.5987916667,1.0,-9999,0.0,-9999,0.0,373.854,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,119.601,-9999,-9999,-9999,17.9225,0.0,39.4545,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,1.93962,1.89864,1.95078,2.1077,1.2234,1.2234,1.51828,1.615,1.67398,1.72749,1.86379,1.87571,0.584493,0.583528,0.594766,0.597823,-9999,-9999
20000104,-9.281,1.0,119.205,37.061,1.0,238.294,0.0,0.391,1.0,95.716,1.0,0.0,1.0,3.843,1.0,-9999,0.0,-9999,0.0,75.9676041667,1.0,-9999,0.0,-9999,0.0,374.046,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,127.474,-9999,-9999,-9999,31.8277,0.0,70.5721,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.60341,1.59334,1.66713,1.77839,1.12604,1.04293,1.17215,1.27975,1.48442,1.53187,1.65273,1.66331,0.485629,0.485629,0.495023,0.497793,-9999,-9999
20000105,-10.914,1.0,119.999,26.716,1.0,261.579,0.0,0.106,1.0,95.814,1.0,2.644,1.0,3.21,1.0,-9999,0.0,-9999,0.0,62.5165625,1.0,-9999,0.0,-9999,0.0,377.034,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,122.887,-9999,-9999,-9999,7.86438,0.0,17.6258,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,1.45142,1.44756,1.53369,1.64269,0.625122,1.02034,1.14427,1.22109,1.39103,1.43549,1.54875,1.55866,0.363776,0.363776,0.371367,0.373593,-9999,-9999
20000106,-7.693,1.0,120.852,65.444,1.0,283.186,0.0,0.467,1.0,95.547,1.0,3.114,1.0,3.634,0.791667,-9999,0.0,-9999,0.0,139.355145833,1.0,-9999,0.0,-9999,0.0,378.081,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,121.044,-9999,-9999,-9999,17.9225,0.0,39.9303,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,1.75462,1.72779,1.79464,1.92106,1.02982,1.02982,1.34731,1.44101,1.56981,1.61999,1.74781,1.75899,0.757621,0.751276,0.768901,0.772319,-9999,-9999
20000107,-13.199,1.0,121.763,64.559,1.0,243.479,0.0,0.718,1.0,96.288,1.0,0.0,1.0,2.953,0.75,-9999,-9999,-9999,-9999,122.526270833,1.0,-9999,-9999,-9999,-9999,376.129,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,131.137,-9999,-9999,-9999,31.8277,0.0,72.6001,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.2467,1.25176,1.33202,1.45092,0.73868,0.696287,0.850739,0.932584,1.25578,1.29592,1.39817,1.40712,0.784329,0.780802,0.79723,0.801094,-9999,-9999
20000108,-0.397,1.0,122.732,60.219,1.0,248.113,0.0,3.015,1.0,95.258,1.0,1.71,1.0,3.027,0.0,-9999,0.0,-9999,0.0,126.1801875,1.0,-9999,0.0,-9999,0.0,378.147,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,87.6045,-9999,-9999,-9999,7.86438,0.0,12.5651,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,2.44742,2.33577,2.44061,2.60881,1.6557,1.98292,2.05126,2.13626,1.93188,1.99363,2.15093,2.16469,0.736729,0.733942,0.749056,0.752741,-9999,-9999
20000109,1.516,1.0,123.759,76.986,1.0,268.526,0.0,3.395,1.0,94.938,1.0,0.156,1.0,2.408,0.0,-9999,0.0,-9999,0.0,161.198958333,1.0,-9999,0.0,-9999,0.0,379.777,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,71.9932,-9999,-9999,-9999,17.9225,0.0,16.3887,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,2.62935,2.47188,2.60245,2.7883,1.92363,1.86682,2.09032,2.182,2.02412,2.08882,2.25363,2.26805,0.877453,0.868859,0.889709,0.893845,-9999,-9999
20000110,1.447,1.0,124.843,12.319,1.0,327.138,0.0,1.228,1.0,93.49,1.0,3.117,1.0,2.437,0.0,-9999,0.0,-9999,0.0,24.3950833333,1.0,-9999,0.0,-9999,0.0,385.839,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,68.3107,-9999,-9999,-9999,31.8277,0.0,37.8181,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,2.62347,2.4674,2.59631,2.78278,2.17261,1.98636,2.05614,2.17261,2.02179,2.08642,2.25103,2.26544,0.179146,0.179146,0.182745,0.184617,-9999,-9999
