TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000101,7.6,0.979167,133.887,49.593,0.0,300.508,0.0,5.059,0.979167,99.165,0.0,0.009,0.958333,1.757,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.224,0.979167,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.91107,1.86381,1.90591,1.97418,2.99043,2.94853,2.98528,3.05354,2.07326,1.63659,2.07326,3.85331,1.2849,1.2849,1.3293,2.06082,-9999,-9999
20000102,7.266,1.0,134.512,61.465,0.0,288.234,0.0,3.941,1.0,99.293,0.0,0.0,1.0,1.93,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.224,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.86602,1.82004,1.86158,1.92916,2.89292,2.86025,2.89292,2.9383,2.06059,1.6266,2.06059,3.82977,1.5044,1.5044,1.55514,2.31497,-9999,-9999
20000103,4.693,1.0,135.195,54.022,0.0,289.017,0.0,1.946,1.0,99.532,0.0,0.0,1.0,1.18,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.168,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.50236,1.46037,1.49899,1.56765,2.36892,2.32972,2.35478,2.44936,1.96495,1.5511,1.96495,3.65202,1.37655,1.37655,1.42377,2.17994,-9999,-9999
20000104,7.261,1.0,135.937,70.592,0.0,275.213,0.0,2.933,1.0,99.258,0.0,0.0,1.0,0.867,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.49,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.86297,1.8171,1.85866,1.92632,2.94233,2.90129,2.93803,3.00569,2.06066,1.62665,2.06066,3.8299,1.6591,1.6591,1.71415,2.4855,-9999,-9999
20000105,9.712,1.0,136.738,73.708,0.0,273.559,0.0,4.135,1.0,98.935,0.0,0.0,1.0,1.59,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.748,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,2.24537,2.19257,2.23299,2.30359,3.27228,3.24147,3.27228,3.31188,2.1476,1.69528,2.1476,3.99149,1.70472,1.70472,1.76092,2.52895,-9999,-9999
20000106,7.216,1.0,137.597,47.609,0.0,293.104,0.0,0.942,1.0,98.913,0.0,0.0,1.0,0.997,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.85,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.84797,1.80262,1.84424,1.91215,2.71453,2.67277,2.70368,2.79409,2.05998,1.62611,2.05998,3.82863,1.24393,1.24393,1.28708,2.01051,-9999,-9999
20000107,9.515,1.0,138.515,71.615,0.0,277.514,0.0,4.994,1.0,99.062,0.0,0.0,1.0,1.931,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.932,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,2.20695,2.15311,2.19565,2.26633,3.28632,3.23565,3.27501,3.3457,2.1415,1.69046,2.1415,3.98014,1.67514,1.67514,1.73064,2.50529,-9999,-9999
20000108,5.85,1.0,139.491,44.758,0.0,308.684,0.0,1.878,1.0,98.956,0.0,0.2,1.0,0.938,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.652,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.67404,1.63293,1.67074,1.73775,2.70094,2.66813,2.70094,2.74689,2.00703,1.58431,2.00703,3.73022,1.18723,1.18723,1.22875,1.9389,-9999,-9999
20000109,5.835,1.0,140.523,12.899,0.0,336.408,0.0,0.105,1.0,98.849,0.0,5.0,1.0,0.602,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.774,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.64401,1.60143,1.6406,1.70998,2.51057,2.47087,2.49777,2.59159,2.00972,1.58644,2.00972,3.73521,0.413223,0.413223,0.42902,0.813654,-9999,-9999
20000110,5.684,1.0,141.615,52.241,0.0,295.299,0.0,1.845,1.0,99.372,0.0,0.2,1.0,2.622,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.708,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.6252,1.58269,1.62179,1.69107,2.70456,2.66206,2.70115,2.77043,2.00382,1.58178,2.00382,3.72426,1.33633,1.33633,1.38226,2.12387,-9999,-9999
